"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"1",5,3,10,23,17,24,25,20,26,4,21,19,12,11,3,3,13,11,18,7
"2",29,20,9,10,18,1,1,13,29,28,1,1,11,15,29,29,15,15,15,29
"3",14,26,12,2,2,18,26,15,5,14,22,18,8,13,27,23,2,7,2,22
"4",9,6,26,14,13,6,4,18,21,20,23,21,2,21,6,21,7,20,12,25
"5",23,16,11,25,7,5,10,9,28,16,26,25,24,9,12,12,1,28,22,19
"6",27,9,21,11,10,17,23,21,22,18,8,8,20,25,21,2,3,8,20,20
"7",3,27,18,1,6,2,13,19,3,6,3,15,27,27,13,10,10,18,16,8
"8",22,21,19,12,14,29,19,24,8,7,27,2,1,5,7,14,27,3,14,18
"9",24,17,22,21,26,21,9,1,4,25,20,16,13,24,9,26,9,4,17,11
"10",7,12,20,28,11,12,29,6,13,2,29,3,16,19,18,28,11,26,6,17
"11",26,7,5,3,12,13,6,8,11,3,9,24,5,17,15,19,24,6,19,6
"12",4,8,3,16,28,3,22,11,2,21,25,10,19,8,20,18,25,12,10,12
"13",12,11,28,9,23,22,28,27,1,19,2,27,6,14,16,11,16,27,23,14
"14",17,2,29,8,20,19,7,4,12,12,28,13,26,6,28,6,5,16,13,3
"15",20,4,13,22,22,8,12,16,6,8,18,5,9,23,24,8,22,22,25,23
"16",8,25,17,20,19,11,5,23,10,26,13,26,25,10,19,4,18,5,8,21
"17",15,13,7,15,3,28,3,25,16,10,24,29,22,26,22,27,17,13,29,9
"18",18,24,6,17,15,14,27,17,9,23,10,6,23,2,5,22,8,25,24,5
"19",11,29,1,13,24,25,15,10,25,1,15,9,28,18,17,16,6,1,27,26
"20",13,1,14,4,1,16,8,29,27,29,14,7,15,29,2,17,26,29,9,15
"21",21,28,27,24,8,26,24,12,17,27,12,23,14,20,23,13,28,19,11,2
"22",25,18,23,6,25,9,17,22,24,5,16,22,18,4,25,20,14,23,4,10
"23",28,10,2,27,5,20,14,26,14,24,17,12,4,3,14,9,12,17,5,28
"24",19,5,15,26,21,4,21,28,20,15,5,14,29,16,11,25,20,2,1,1
"25",6,23,16,19,9,23,11,2,23,13,7,11,3,7,26,24,21,21,21,13
"26",2,15,8,7,16,27,16,3,7,17,11,20,21,22,8,1,23,24,3,27
"27",10,19,24,5,4,7,18,7,18,22,19,4,10,12,10,5,19,10,28,4
"28",16,22,4,18,27,10,20,5,19,9,6,28,7,28,4,7,4,14,7,16
"29",1,14,25,29,29,15,2,14,15,11,4,17,17,1,1,15,29,9,26,24
