"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28"
"17",1,3,6,6,2,4,2,1,5,4,3,6,5,5,3,2,3,5,6,2,6,2,5,5,3,5,1,3
"18",2,4,1,4,2,3,3,5,1,1,6,6,4,6,1,3,4,1,2,1,4,3,4,1,3,6,6,3
"19",3,1,2,2,3,3,2,5,4,2,4,2,4,4,6,1,2,5,5,6,1,5,5,6,6,4,6,2
"20",1,3,6,2,4,4,5,2,5,5,6,2,4,1,2,1,6,3,1,2,2,3,5,3,5,2,2,2
"21",1,6,3,3,3,1,2,1,3,3,5,3,1,6,3,1,1,2,1,6,3,1,3,4,2,6,3,4
"22",3,1,4,5,1,1,6,6,6,6,5,4,3,2,4,3,1,2,1,2,5,4,3,4,4,6,3,1
"23",3,5,1,2,4,5,4,5,2,4,6,4,4,2,5,5,5,6,6,6,6,1,3,5,1,5,2,3
"24",6,4,2,4,5,4,5,3,5,6,1,5,6,6,5,2,2,3,1,6,5,6,2,4,3,5,5,4
"25",5,3,3,5,1,2,1,5,2,3,3,1,3,3,1,6,5,6,4,1,3,2,4,4,6,1,2,1
"26",5,2,4,3,6,6,6,2,3,1,1,1,2,4,4,1,3,5,5,6,6,3,4,3,4,6,2,5
"27",6,6,3,5,6,1,3,5,3,3,4,5,5,1,6,1,6,2,3,4,5,2,5,3,3,2,1,5
"28",5,3,4,2,2,1,4,3,2,4,4,6,1,3,5,1,3,1,5,2,6,4,6,6,2,3,6,6
"29",6,6,2,2,1,3,6,4,1,5,1,4,2,5,4,2,6,5,3,3,2,2,6,3,5,1,4,4
"30",5,6,1,1,1,6,4,1,6,1,4,6,2,3,2,2,5,4,1,4,4,5,3,4,4,4,2,2
"31",3,2,3,5,4,6,6,2,5,5,4,6,5,6,6,6,5,5,2,5,3,4,6,1,5,4,3,5
"32",2,3,1,4,5,1,1,2,1,5,2,6,4,4,6,4,1,5,6,3,2,3,3,3,2,1,5,2
"33",4,6,5,6,3,5,2,6,4,2,5,5,2,4,5,6,1,3,4,3,6,3,5,5,5,6,5,6
"34",3,5,2,3,6,5,1,2,2,4,3,4,3,5,1,6,6,4,1,2,3,5,1,6,2,3,6,5
"35",3,3,3,6,2,5,2,2,2,1,2,4,5,2,3,2,1,1,2,3,1,6,4,2,6,2,5,5
"36",6,2,1,2,4,4,1,6,5,1,2,3,3,2,5,3,4,2,5,3,4,4,1,1,6,6,1,4
"37",5,2,5,6,3,1,4,1,4,6,1,1,2,6,2,5,4,3,2,4,1,4,5,6,1,3,4,3
"38",4,2,2,4,6,2,6,1,1,5,6,5,4,2,2,2,4,4,5,4,2,3,2,5,6,6,4,6
"39",5,5,5,6,5,4,2,4,1,5,2,2,4,3,3,6,2,2,1,5,5,1,6,1,2,4,3,2
"40",5,3,5,6,1,6,5,5,4,3,6,3,4,5,6,3,6,2,5,1,2,1,1,4,2,4,4,5
"41",4,1,5,3,6,1,2,4,6,1,2,5,4,5,5,5,5,1,4,1,2,6,6,4,4,3,2,3
"42",2,2,5,2,3,6,6,3,1,1,6,3,3,6,3,6,3,4,6,3,5,6,2,4,3,1,4,1
"43",6,2,6,4,2,5,4,2,3,2,5,4,3,5,1,3,2,6,3,5,1,1,6,2,4,5,5,1
"44",2,2,4,5,2,4,2,4,6,3,6,5,2,3,4,4,4,4,1,6,1,6,4,6,2,1,1,6
"45",5,6,6,5,5,5,2,3,6,4,4,2,1,1,5,3,2,6,6,4,2,4,2,5,4,2,6,3
"46",4,4,6,5,1,3,3,3,5,2,1,3,3,1,2,5,6,5,6,6,3,3,3,2,1,5,6,6
"47",1,6,2,3,6,5,3,1,6,2,3,3,6,4,4,3,4,2,4,3,6,3,6,2,1,2,6,1
"48",1,4,5,4,3,6,1,6,2,6,1,4,2,1,6,1,4,4,5,4,3,5,6,4,2,4,3,1
"49",2,1,4,5,4,5,4,6,3,6,2,4,6,4,1,2,5,2,6,4,4,1,4,5,4,1,6,6
"50",6,4,4,2,6,3,2,6,5,4,6,5,1,5,1,4,3,1,4,6,3,3,3,1,5,2,5,1
"51",2,4,2,5,5,5,5,3,2,2,1,3,1,4,5,4,5,1,2,2,2,2,3,6,5,5,1,1
"52",4,1,3,1,5,6,1,4,3,4,4,6,2,1,2,2,1,3,3,1,1,1,2,3,1,5,3,3
"53",3,5,6,6,4,2,5,5,1,2,3,6,1,3,4,2,5,3,6,5,1,5,1,1,3,3,2,3
"54",2,3,6,1,5,2,1,4,2,2,3,4,6,6,3,4,6,6,2,5,5,4,4,5,6,6,4,5
"55",2,3,6,1,6,5,4,5,4,5,4,1,3,6,5,3,1,1,3,4,3,5,3,2,1,1,1,5
"56",5,5,6,2,2,2,1,1,2,3,6,2,6,4,6,3,2,3,3,2,4,5,2,2,5,4,2,6
"57",1,1,4,4,5,3,4,1,1,3,5,1,1,1,5,5,6,3,4,1,5,5,4,1,4,5,5,4
"58",6,2,6,3,5,3,3,5,1,6,4,3,5,3,2,5,1,5,1,3,6,3,1,6,5,3,1,4
"59",4,1,1,6,3,4,3,3,2,4,5,2,6,5,2,1,6,4,4,6,4,4,1,2,2,2,1,1
"60",2,6,4,3,1,3,3,2,3,6,2,5,5,3,4,4,3,6,3,2,2,6,1,1,1,6,1,2
