"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29"
"16",6,1,3,5,2,4,1,6,5,3,3,3,5,3,1,1,1,5,4,6,1,5,1,4,3,4,5,1,3
"17",3,3,1,1,1,3,1,4,2,4,6,6,5,1,3,3,1,6,4,3,4,3,6,1,6,5,5,3,5
"18",5,3,1,3,3,3,6,1,4,4,1,3,2,1,5,1,4,5,5,4,6,6,1,2,4,2,1,5,2
"19",1,4,2,5,3,6,5,3,1,6,5,4,6,2,3,2,2,6,3,1,3,5,6,3,5,2,3,1,2
"20",2,6,4,1,2,5,4,2,5,6,5,1,4,2,5,3,4,3,5,6,1,2,2,3,6,6,1,4,3
"21",4,4,1,5,3,4,1,6,2,6,1,3,4,4,4,2,5,3,1,5,6,1,4,6,5,6,2,3,1
"22",6,5,4,1,6,3,3,1,3,5,4,2,3,6,6,1,1,4,3,5,2,3,5,6,5,1,2,2,3
"23",6,3,3,5,3,1,2,1,6,2,5,1,3,4,5,4,2,2,6,2,6,3,2,2,6,3,3,2,6
"24",5,2,6,1,3,1,3,3,1,2,5,4,1,3,2,1,4,1,3,3,1,3,4,4,2,6,1,5,1
"25",5,4,3,2,6,5,6,5,4,6,6,6,5,6,6,2,5,2,6,3,2,4,2,2,4,4,4,4,1
"26",3,4,5,5,5,4,6,2,2,1,2,5,1,4,5,5,2,3,4,2,1,3,5,1,4,6,6,1,2
"27",6,6,5,2,1,2,6,3,2,4,3,3,4,3,4,3,6,1,1,2,3,2,6,3,2,2,5,1,6
"28",1,3,6,3,1,4,2,5,4,6,2,4,1,6,6,5,1,5,3,4,5,2,3,4,2,5,1,3,6
"29",1,5,5,5,4,3,2,2,1,6,3,2,5,3,4,4,5,1,4,2,4,5,1,1,1,1,1,5,4
"30",2,5,3,2,3,6,4,6,2,2,4,3,3,6,6,2,4,5,6,6,4,1,5,1,3,4,6,1,5
"31",1,2,3,3,2,3,3,1,1,3,6,3,5,5,5,5,3,6,4,2,2,2,3,6,1,4,6,6,1
"32",2,6,2,4,1,1,2,3,3,4,1,3,1,1,1,4,1,4,6,1,2,1,4,3,3,2,4,4,1
"33",3,6,1,6,4,5,6,3,2,3,6,5,6,5,3,5,1,3,2,4,6,2,4,3,3,1,1,5,5
"34",3,6,6,3,5,1,1,2,5,1,6,3,4,6,3,1,4,5,4,3,6,2,1,5,4,1,5,4,4
"35",3,4,4,6,2,3,5,5,6,2,1,6,4,2,3,1,5,2,3,1,5,1,3,1,2,5,3,6,5
"36",1,1,5,1,6,3,6,6,6,2,4,2,2,3,4,4,2,5,2,1,6,4,2,3,5,3,5,5,3
"37",5,6,2,6,4,3,3,5,4,1,6,2,1,2,5,6,5,6,5,4,3,5,3,3,2,6,4,1,5
"38",4,1,6,2,3,6,2,3,6,3,1,1,2,4,6,4,6,3,5,1,2,5,6,2,2,5,3,3,3
"39",1,2,3,2,1,5,3,2,3,2,1,2,6,2,2,6,3,2,1,5,6,4,5,2,4,4,2,1,4
"40",6,2,5,4,4,3,5,4,5,1,2,2,3,6,2,3,1,2,1,6,4,4,6,6,1,2,4,4,1
"41",5,5,6,1,2,4,4,5,1,1,1,4,5,2,5,4,3,4,2,3,4,6,2,5,6,1,4,2,1
"42",6,6,5,4,5,6,5,6,2,4,5,1,5,1,2,3,2,4,6,2,6,4,3,5,1,5,3,4,3
"43",2,3,2,6,4,2,4,5,5,5,3,1,6,5,6,1,3,1,3,3,5,6,5,5,3,5,6,2,2
"44",3,1,4,1,4,4,3,2,5,6,5,6,5,4,1,6,2,1,6,3,3,6,5,6,3,2,3,4,6
"45",6,2,6,5,1,5,4,3,2,4,6,6,3,3,6,4,6,6,3,6,5,4,1,6,4,3,2,5,4
"46",4,1,3,6,5,1,4,2,3,5,6,4,2,2,5,3,1,2,1,5,4,1,1,1,2,2,5,3,3
"47",6,5,2,2,3,2,5,1,6,3,3,5,5,5,4,5,2,6,1,3,1,6,2,1,3,6,3,4,4
"48",1,4,1,1,3,1,5,4,5,4,5,2,2,3,3,6,6,3,2,5,3,3,1,6,1,5,6,3,5
"49",6,5,1,1,6,3,2,4,3,1,4,5,6,4,1,4,6,3,4,5,6,5,5,3,2,5,5,6,3
"50",4,6,2,4,2,6,1,1,6,4,4,6,2,3,5,2,2,1,2,4,5,4,5,4,1,4,5,6,2
"51",5,3,1,4,6,6,4,4,1,2,1,3,4,6,3,6,3,1,5,3,1,1,1,3,1,3,2,2,3
"52",3,1,2,3,1,1,6,6,3,1,4,5,4,1,6,2,3,3,5,2,3,6,4,6,1,3,1,3,4
"53",3,4,3,1,5,6,6,1,6,5,3,2,6,4,2,5,5,6,4,6,5,1,3,4,2,2,4,2,2
"54",1,1,1,2,4,5,1,1,4,1,2,5,2,5,1,3,5,4,3,5,3,3,3,1,6,2,3,4,1
"55",5,1,4,6,5,2,5,4,1,4,4,1,6,6,1,4,5,5,4,1,3,1,4,2,5,4,1,3,5
"56",2,2,6,3,6,2,5,1,2,5,1,6,3,3,2,2,4,5,3,4,2,5,2,2,1,4,5,2,6
"57",2,2,6,6,2,4,5,5,5,3,5,4,3,1,1,5,6,1,5,4,5,2,4,2,4,3,6,2,1
"58",2,6,3,6,5,5,3,3,4,5,2,4,1,6,1,5,4,2,2,1,4,5,2,6,6,4,6,5,4
"59",4,5,5,3,2,1,3,6,4,5,1,2,6,5,2,3,2,3,5,4,1,5,4,2,6,3,6,6,6
"60",5,3,4,3,1,5,2,5,3,6,4,1,3,4,2,6,4,6,1,2,5,3,4,1,1,1,6,5,2
