"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39"
"12",3,2,1,3,5,6,1,3,4,4,1,2,1,6,2,6,6,1,6,5,3,5,4,1,2,4,4,6,2,5,4,6,1,5,3,4,4,4,5
"13",1,3,5,3,4,1,5,2,4,2,6,2,6,6,6,1,1,3,3,1,2,4,3,4,5,5,1,3,6,2,4,5,3,1,4,5,5,6,5
"14",2,5,4,3,4,4,1,4,5,3,5,1,2,3,5,3,3,6,6,2,1,5,4,1,2,5,3,1,1,1,2,2,5,4,4,1,1,6,1
"15",4,4,4,1,1,2,6,1,2,3,2,2,5,2,6,3,4,1,3,5,1,6,4,5,5,1,3,5,2,4,2,1,4,4,2,1,5,1,5
"16",3,6,6,2,5,2,5,6,1,1,5,4,1,5,3,6,3,1,1,4,2,4,5,2,5,4,2,6,4,6,1,3,6,2,3,3,4,3,2
"17",1,1,4,1,1,3,1,5,2,6,4,5,2,1,1,3,5,5,4,5,6,1,3,3,4,4,3,5,5,4,3,5,2,6,4,5,1,2,6
"18",2,1,6,4,6,3,4,4,1,2,4,3,2,2,4,1,5,2,5,2,5,4,1,5,3,2,2,5,6,5,6,1,3,1,3,5,2,5,1
"19",3,4,5,5,2,6,5,2,5,2,5,6,5,3,6,5,6,6,4,4,5,2,1,3,5,5,1,3,1,5,6,3,6,1,4,2,2,4,4
"20",5,4,1,1,4,5,3,4,3,6,6,6,5,2,5,5,4,4,2,2,3,3,1,1,5,4,6,1,6,2,4,2,1,4,3,4,6,1,6
"21",3,4,4,2,5,2,1,1,3,4,2,1,6,6,2,2,6,6,2,6,4,3,2,4,2,3,4,4,6,1,1,2,6,2,2,2,2,5,3
"22",6,1,3,5,2,3,1,6,5,5,2,2,3,4,1,4,2,5,1,1,3,5,6,4,5,2,2,3,4,3,5,1,5,1,2,4,6,4,6
"23",1,2,2,2,4,6,5,3,5,4,3,4,2,3,4,2,1,6,1,6,2,4,1,3,1,2,6,4,2,3,2,3,2,1,6,3,6,1,2
"24",3,4,2,3,2,4,3,6,5,5,1,3,1,1,6,5,2,4,3,1,5,1,6,6,3,6,2,5,6,3,2,6,2,2,5,2,3,2,3
"25",4,2,6,5,4,6,4,1,3,6,2,2,3,3,3,6,5,3,1,1,1,3,2,5,6,6,6,3,1,4,1,5,2,3,3,3,1,4,1
"26",6,6,6,4,1,3,1,3,2,4,2,1,5,5,2,2,1,2,5,1,6,3,1,2,3,1,5,2,1,4,4,3,2,5,5,4,2,3,4
"27",5,2,4,1,5,6,2,2,6,3,4,4,6,4,6,6,2,2,3,4,4,1,3,1,3,1,3,6,4,3,6,1,1,3,2,6,2,4,1
"28",2,5,3,4,3,5,3,1,4,4,1,2,6,3,1,2,4,1,1,4,4,2,5,1,6,3,1,4,5,5,5,4,3,1,6,1,6,2,1
"29",4,5,1,2,6,6,4,3,1,1,3,2,4,5,3,5,5,5,5,3,2,1,6,6,2,2,2,3,3,1,5,3,4,3,6,5,1,2,6
"30",6,6,4,2,3,1,5,4,4,6,4,3,2,6,6,6,5,2,5,4,2,1,1,6,1,5,6,4,4,3,3,4,5,4,1,1,3,4,6
"31",2,6,2,6,2,2,4,3,6,4,6,3,5,6,5,3,5,2,2,1,6,5,5,3,6,4,5,5,3,3,2,4,5,6,2,6,1,4,2
"32",6,3,4,3,5,1,4,5,6,5,1,4,5,5,4,2,6,1,5,3,3,6,5,2,6,6,3,2,6,4,3,1,1,6,6,2,3,3,4
"33",5,2,3,6,6,2,4,6,2,3,2,1,4,3,5,4,2,6,2,5,6,5,2,3,4,5,2,6,4,6,3,4,1,3,6,1,2,5,6
"34",1,1,2,4,3,5,5,6,6,1,2,3,4,2,5,4,6,3,6,2,2,2,2,1,3,2,1,1,5,4,1,2,4,6,2,4,5,4,3
"35",2,5,1,4,6,1,1,4,6,6,6,2,2,5,3,4,4,5,2,4,1,2,1,6,5,2,4,5,4,5,4,2,2,5,5,5,4,5,2
"36",4,1,2,2,5,1,1,3,3,2,4,3,4,1,2,2,2,6,3,3,1,1,6,2,6,4,4,2,1,5,6,5,4,1,1,2,3,2,3
"37",4,5,5,6,4,5,4,5,3,2,5,3,4,6,1,6,6,6,2,3,6,5,4,4,1,1,3,4,6,4,6,6,2,6,4,1,5,2,3
"38",2,6,6,3,1,5,5,4,4,3,1,6,4,1,2,5,4,5,1,3,1,6,1,2,2,1,4,5,4,3,3,5,4,2,3,6,1,6,4
"39",3,1,6,5,6,6,2,5,2,3,5,6,6,6,6,3,2,4,5,1,3,2,3,6,4,3,4,4,2,6,1,5,4,4,6,1,5,3,4
"40",3,5,1,3,3,3,6,2,2,2,3,4,2,1,2,6,3,3,5,3,6,6,3,4,6,6,4,4,1,1,6,2,2,6,6,4,6,5,2
"41",6,4,4,5,4,4,4,5,1,4,6,3,1,1,3,3,1,1,1,2,4,2,2,1,2,1,4,2,3,1,6,4,6,2,4,2,4,6,6
"42",2,2,6,5,2,1,3,5,4,6,3,1,6,1,4,6,3,2,2,3,1,3,4,4,1,4,1,6,3,2,5,3,6,5,5,6,3,1,4
"43",5,6,5,5,5,5,6,1,4,5,5,5,3,2,1,3,1,2,6,2,2,5,5,5,4,4,2,4,5,1,3,3,1,4,1,6,4,1,3
"44",4,3,5,3,4,4,6,6,2,6,1,6,4,3,4,1,2,5,4,4,6,1,4,5,5,3,5,6,4,2,5,2,5,6,1,1,4,6,1
"45",1,5,4,1,3,6,2,1,4,4,3,4,1,4,5,2,3,6,2,2,5,4,6,6,4,2,1,1,3,6,3,4,1,6,1,4,2,5,5
"46",3,3,2,1,5,3,4,1,5,3,6,5,3,3,1,5,1,2,1,3,5,6,2,6,3,3,6,2,5,5,1,1,5,5,5,2,2,3,5
"47",4,6,5,1,6,4,4,6,4,5,4,3,3,6,4,2,4,4,4,6,5,5,2,1,6,3,1,2,1,3,1,6,4,3,6,6,6,2,5
"48",5,4,4,5,5,2,5,2,6,1,1,1,2,1,5,5,1,4,5,4,4,6,3,5,1,2,5,2,3,5,4,6,6,4,3,5,4,2,1
"49",6,6,2,3,5,2,3,3,1,5,2,6,6,2,6,3,4,4,4,6,1,4,3,4,2,6,1,3,5,6,6,5,3,5,2,4,1,3,1
"50",4,6,3,4,1,4,2,2,1,2,3,5,4,6,4,4,2,3,1,3,5,1,4,3,1,6,5,3,6,5,1,2,3,1,2,6,6,6,5
"51",6,1,3,6,1,5,3,4,4,3,6,2,2,5,2,1,4,3,3,5,6,2,2,6,1,6,1,2,3,2,3,1,4,6,3,3,4,1,2
"52",5,5,5,1,1,2,6,4,5,3,2,6,1,5,1,1,5,4,4,1,2,2,5,1,3,3,6,3,3,6,5,4,1,3,4,3,5,5,2
"53",3,6,3,6,2,5,2,2,5,1,4,4,4,3,4,1,2,3,6,5,1,3,3,4,4,1,5,6,6,2,5,6,5,6,6,3,1,3,6
"54",1,4,3,5,6,4,6,3,1,5,4,1,3,4,6,2,5,3,2,6,4,1,6,2,3,6,4,5,1,6,5,1,6,5,3,4,5,3,5
"55",3,1,5,4,3,1,3,6,3,4,4,6,3,5,5,5,6,5,3,5,4,6,6,2,1,4,5,2,2,1,5,1,3,3,6,4,1,1,1
"56",5,4,1,4,4,3,2,6,6,1,5,5,4,4,1,2,4,1,2,5,2,6,2,6,3,4,1,4,1,2,4,5,2,2,1,3,1,6,4
"57",6,1,3,2,2,3,6,2,1,3,5,1,5,3,4,5,6,5,1,4,3,3,5,5,4,3,2,1,2,3,2,6,1,5,5,6,4,6,2
"58",5,3,1,6,3,2,5,5,6,5,4,5,6,4,3,1,3,6,5,2,5,3,4,5,2,2,6,6,1,4,1,6,3,1,3,5,3,3,6
"59",4,1,2,2,2,1,1,1,3,6,3,6,3,4,5,4,6,1,6,2,5,5,1,3,4,1,3,6,2,1,4,4,5,2,4,2,6,3,3
"60",4,3,2,6,3,5,5,4,2,6,3,4,1,5,1,1,3,1,3,6,2,3,4,3,6,2,3,1,5,6,2,6,6,4,5,6,2,6,3
