"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40"
"23",2,6,3,5,6,1,5,5,4,3,2,6,5,2,2,3,1,2,4,5,2,3,4,3,6,1,1,4,2,5,6,3,6,4,2,2,5,1,6,3
"24",1,5,4,1,4,2,1,1,3,1,3,3,2,5,3,1,2,2,3,4,2,2,2,4,1,1,4,4,2,2,1,3,6,2,4,6,1,6,2,5
"25",2,3,6,6,1,4,1,2,2,1,6,5,5,1,3,1,4,4,3,4,4,3,3,1,2,3,6,2,4,6,5,1,1,3,2,2,4,5,2,1
"26",4,6,4,3,6,4,2,3,4,4,3,1,5,1,4,6,3,5,4,6,2,5,1,2,6,5,6,1,1,3,5,6,1,5,3,4,4,6,6,5
"27",5,6,2,2,5,6,4,3,2,2,1,1,4,6,2,3,3,3,1,3,3,1,5,2,3,4,4,6,6,4,6,5,1,1,2,4,2,5,2,1
"28",5,1,3,6,3,5,6,2,3,1,2,5,2,3,2,5,6,5,6,4,1,6,2,4,2,3,3,2,1,5,4,4,4,6,2,6,5,2,6,4
"29",4,5,3,4,2,1,5,3,4,5,3,6,6,3,6,3,4,5,1,5,6,3,2,4,1,6,2,5,1,6,2,1,5,4,1,5,2,4,2,1
"30",4,4,2,2,3,1,5,1,5,3,5,2,6,6,1,6,1,5,6,4,5,3,5,1,1,2,5,1,4,2,4,4,6,3,3,4,2,3,6,2
"31",4,1,1,1,3,1,3,5,1,5,5,2,1,3,2,3,5,2,1,4,2,4,4,1,5,4,5,6,1,1,4,1,6,2,2,4,4,2,3,2
"32",1,2,5,3,3,6,4,2,1,2,4,2,4,6,4,5,6,3,1,6,4,4,1,5,5,6,1,5,3,4,3,5,1,4,4,1,1,1,6,3
"33",2,6,5,1,2,3,1,4,5,5,1,4,2,1,4,3,2,6,5,4,3,6,5,5,3,4,5,3,2,4,2,6,3,3,2,1,1,1,1,1
"34",6,5,6,5,5,4,6,6,6,1,4,1,4,3,4,4,6,4,1,5,3,2,2,4,3,1,1,2,2,1,4,1,3,2,3,5,2,2,3,6
"35",5,4,3,2,1,5,3,5,5,2,6,1,3,4,6,1,3,6,4,4,3,6,3,3,5,6,2,6,3,6,6,3,3,6,5,5,6,6,4,1
"36",2,1,5,4,6,6,3,6,3,6,4,6,3,5,3,5,3,1,6,6,6,3,6,3,3,5,5,6,4,4,5,1,5,5,5,3,3,4,1,6
"37",1,6,6,3,2,6,6,1,3,2,3,3,4,3,5,1,2,5,2,2,5,6,6,2,4,2,2,5,6,2,5,2,5,6,2,3,3,2,4,4
"38",1,4,4,3,6,5,6,2,5,6,6,4,1,3,5,1,2,1,6,3,3,2,4,6,3,6,5,4,2,6,2,5,1,4,6,5,4,3,5,4
"39",3,3,1,4,6,6,3,4,4,1,4,2,1,1,5,2,4,4,6,2,1,3,5,1,3,2,1,4,2,2,1,2,2,6,4,1,1,5,3,2
"40",3,3,6,1,2,4,6,3,6,4,2,5,3,6,2,5,6,6,4,1,1,2,3,4,4,2,5,6,1,6,5,2,5,1,5,2,4,4,3,2
"41",4,3,1,5,1,4,4,6,4,4,3,1,1,5,4,2,3,1,2,5,2,6,5,6,4,3,3,1,6,6,6,1,5,3,6,2,1,3,5,3
"42",5,2,5,6,2,5,3,2,2,3,2,3,1,4,6,4,2,1,4,2,1,1,6,2,1,6,6,3,3,3,4,3,5,3,1,1,5,5,5,5
"43",3,3,2,3,6,1,6,3,1,3,2,3,3,1,3,4,3,6,5,2,4,4,3,6,2,6,6,4,5,3,6,1,3,1,1,6,2,1,5,6
"44",1,6,1,6,3,3,1,6,1,2,1,2,6,2,6,5,2,1,5,3,4,3,1,4,3,4,4,2,4,1,1,2,4,4,5,4,5,3,5,2
"45",6,5,4,1,5,4,5,5,2,1,5,4,6,4,2,4,1,4,5,1,2,6,5,5,2,4,4,3,5,3,2,2,6,6,6,3,6,5,2,2
"46",6,6,6,5,1,3,1,3,3,5,6,4,3,5,3,6,2,3,2,1,1,5,4,2,1,4,2,5,2,1,3,5,5,5,4,5,3,1,5,2
"47",4,1,4,1,4,5,1,4,5,2,2,6,6,5,3,6,4,5,3,2,6,4,4,5,6,1,2,6,4,2,2,1,2,3,1,2,4,2,5,5
"48",5,4,3,4,2,3,4,6,2,3,2,4,2,6,6,1,2,2,6,3,5,4,2,1,6,2,1,6,1,1,2,5,4,1,3,2,4,5,3,6
"49",3,1,4,2,6,1,5,2,1,5,2,5,2,4,5,4,2,4,1,5,2,1,3,6,4,2,2,1,5,1,4,4,3,6,4,3,5,5,1,1
"50",6,2,3,4,5,1,1,3,4,1,3,2,2,2,2,6,4,3,4,2,5,3,6,6,5,5,1,1,3,6,3,5,4,1,5,3,6,3,1,1
"51",5,5,5,1,2,2,5,4,6,1,6,4,2,2,5,3,4,2,2,6,4,5,6,2,5,2,4,2,6,3,1,3,2,1,4,6,5,4,6,4
"52",3,1,5,5,4,2,4,5,3,2,5,6,6,5,5,2,5,2,5,1,3,4,5,6,2,5,3,1,1,4,6,4,2,1,3,6,2,6,4,2
"53",3,6,2,6,2,3,3,2,1,6,3,1,5,6,1,3,5,4,6,1,4,5,6,6,4,1,3,4,3,3,3,1,1,4,3,5,6,5,1,4
"54",3,1,1,2,4,4,6,3,3,4,5,6,4,2,4,6,3,1,2,4,5,5,1,2,1,5,1,4,5,5,1,6,6,2,3,1,6,5,3,4
"55",2,3,3,1,1,5,5,2,6,4,4,1,5,2,4,5,1,1,3,1,4,2,4,3,4,3,3,1,1,1,2,4,4,5,1,6,4,6,1,1
"56",4,6,4,2,1,6,5,5,4,5,5,3,2,5,2,2,5,6,3,1,4,1,1,5,1,6,2,2,5,2,5,6,4,4,2,2,5,3,3,5
"57",1,5,5,6,4,2,6,4,3,5,1,2,2,6,3,6,5,4,3,4,6,5,4,1,5,6,3,1,3,5,2,2,3,6,6,1,3,4,4,6
"58",1,1,3,4,4,2,2,3,6,4,3,5,4,6,4,1,6,3,1,3,1,1,5,3,1,6,6,2,6,2,2,2,3,5,4,5,5,2,6,3
"59",2,5,2,5,6,6,1,1,3,4,5,6,1,3,4,4,5,6,3,3,6,6,2,5,5,2,4,6,3,2,5,5,5,2,4,4,6,4,6,2
"60",2,2,1,1,4,5,2,5,1,6,3,4,5,1,1,4,1,5,1,3,3,4,6,3,1,3,1,2,1,5,6,4,4,4,5,3,1,4,4,6
