"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"1",27,21,21,22,8,8,15,26,16,25,23,19,11,6,19,21,23,8,13,20
"2",6,14,13,26,2,16,27,4,21,13,10,1,3,17,16,23,18,3,26,18
"3",18,7,20,24,19,4,23,21,24,17,3,6,7,4,12,13,8,15,19,7
"4",24,2,8,17,3,12,24,19,19,5,13,22,19,23,11,4,5,13,9,21
"5",8,20,12,23,22,5,9,10,8,7,21,11,25,22,17,17,4,17,20,23
"6",20,25,24,19,16,18,20,27,12,3,9,27,27,18,1,14,17,22,24,13
"7",5,1,27,14,27,27,13,14,22,27,14,12,20,8,4,20,1,10,27,12
"8",1,26,25,15,14,3,22,3,4,14,20,5,18,12,25,3,10,7,8,15
"9",3,23,10,18,13,20,3,20,25,16,24,17,10,20,7,24,11,18,5,8
"10",14,22,14,25,4,25,14,6,6,12,7,20,12,2,5,2,2,27,14,3
"11",7,8,19,9,9,6,16,9,17,8,2,18,24,19,6,11,21,5,4,6
"12",17,27,11,1,1,2,11,16,18,22,6,7,14,24,27,16,27,20,1,14
"13",26,4,18,3,17,19,2,5,15,15,1,16,21,13,21,26,6,25,17,19
"14",21,10,5,27,12,15,5,11,3,23,16,26,23,5,15,15,9,2,2,11
"15",9,12,22,11,11,10,6,24,10,24,11,2,4,14,8,8,3,24,7,24
"16",4,13,1,13,26,9,7,1,26,2,5,24,13,1,20,12,15,19,12,17
"17",16,18,2,12,15,13,26,12,23,26,26,10,26,16,18,1,26,26,15,5
"18",11,3,4,8,5,7,19,17,9,11,22,21,5,10,23,19,12,23,25,10
"19",13,9,23,5,24,22,25,7,5,21,19,23,8,21,10,18,25,16,11,16
"20",22,16,26,10,7,1,1,15,1,1,12,14,1,27,14,27,14,12,16,1
"21",23,11,16,21,21,26,17,13,27,10,17,15,2,11,26,7,20,21,3,26
"22",2,19,7,4,6,21,18,22,2,20,4,13,22,9,13,9,19,14,21,25
"23",25,24,9,6,23,11,4,8,14,9,15,3,9,7,9,5,22,11,23,9
"24",19,5,3,16,10,24,10,2,13,18,25,9,6,25,2,10,16,6,18,22
"25",12,6,6,20,18,23,8,23,7,6,8,4,17,15,22,22,24,9,10,4
"26",10,17,17,7,20,17,12,25,20,19,18,25,15,26,24,6,7,4,22,2
"27",15,15,15,2,25,14,21,18,11,4,27,8,16,3,3,25,13,1,6,27
