"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24"
"1",28,19,1,15,1,16,12,29,1,15,16,1,15,18,1,15,2,12,22,19,27,28,3,19
"2",17,9,5,23,6,26,24,17,25,6,27,11,4,22,22,2,15,11,27,8,9,19,14,6
"3",13,22,29,8,2,14,29,9,28,7,11,7,14,27,23,16,19,29,2,20,29,12,12,15
"4",25,24,2,16,27,21,4,2,27,1,15,29,17,19,16,24,13,8,6,11,7,9,10,17
"5",5,20,25,9,3,22,10,4,9,26,8,19,18,16,25,13,10,6,23,14,8,26,25,4
"6",7,7,7,7,12,13,11,6,19,27,25,5,11,15,11,7,25,5,9,22,10,7,4,28
"7",20,13,6,10,7,7,19,22,8,8,5,24,8,14,26,20,23,7,12,7,22,4,26,26
"8",18,4,17,3,9,28,3,15,26,24,6,27,2,6,9,23,12,19,21,21,25,17,16,21
"9",22,11,9,4,8,9,27,12,5,23,13,13,26,4,6,17,11,21,7,4,6,11,8,3
"10",2,29,10,28,10,29,9,19,7,3,10,15,29,2,21,10,22,15,14,28,13,15,9,24
"11",8,8,3,6,24,18,20,26,16,5,7,23,23,17,12,4,8,24,4,23,17,25,21,10
"12",4,18,11,13,16,25,26,23,23,18,18,18,25,28,3,26,28,4,18,17,24,8,18,2
"13",29,15,14,20,20,15,15,13,15,17,1,8,1,13,29,29,29,13,1,29,2,29,15,1
"14",12,21,12,24,22,19,2,10,4,20,21,16,9,7,5,3,18,9,3,3,28,18,28,13
"15",9,3,18,26,4,5,5,24,11,19,22,28,16,21,18,21,26,26,8,13,15,24,5,8
"16",23,12,24,19,19,27,18,11,10,22,26,25,24,25,27,5,4,16,10,18,23,5,7,20
"17",16,5,26,25,28,20,28,27,2,21,14,10,12,20,15,18,17,18,20,26,5,10,29,29
"18",6,26,23,11,11,23,16,25,13,12,28,3,3,5,14,25,3,20,5,9,12,3,19,12
"19",11,10,27,2,23,11,13,14,3,4,29,12,27,10,17,28,20,2,28,12,21,23,13,18
"20",15,16,28,17,14,17,7,21,17,11,2,20,20,12,2,1,21,28,29,5,3,1,2,16
"21",3,2,16,21,26,3,17,3,12,2,9,9,6,11,7,14,9,14,19,16,26,2,6,5
"22",10,28,8,27,17,12,21,8,14,28,3,17,10,24,13,27,5,23,26,6,18,20,11,27
"23",27,6,22,29,13,10,8,16,29,16,4,4,28,23,10,9,7,1,13,10,16,13,27,11
"24",1,14,13,1,29,1,1,20,21,14,19,14,13,29,28,12,1,17,16,1,1,16,17,22
"25",14,17,20,22,5,4,23,7,22,10,24,22,21,8,4,22,6,10,11,25,4,21,23,23
"26",19,23,4,18,21,6,6,18,20,25,23,6,22,9,24,19,14,25,25,24,20,6,24,7
"27",26,25,19,5,15,8,14,5,6,9,20,26,5,26,8,8,24,22,24,27,11,14,20,9
"28",21,27,21,12,25,2,25,28,24,29,12,21,7,3,20,6,16,3,15,15,14,22,1,14
"29",24,1,15,14,18,24,22,1,18,13,17,2,19,1,19,11,27,27,17,2,19,27,22,25
