"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24"
"1",20,11,1,16,7,15,25,2,20,13,26,18,14,8,24,25,14,16,1,21,17,1,14,25
"2",26,26,21,17,25,8,26,11,12,16,1,16,26,13,11,18,8,17,17,13,12,26,25,26
"3",16,5,18,2,18,21,14,8,25,23,19,13,19,14,25,6,20,2,19,25,16,22,24,11
"4",8,23,9,23,9,9,17,4,24,8,11,9,20,21,9,17,24,4,13,12,3,3,22,7
"5",12,20,5,8,5,17,6,7,16,15,4,24,22,17,22,5,13,21,7,9,6,24,6,5
"6",18,7,19,6,14,11,9,9,14,14,2,17,2,10,2,26,25,10,16,11,25,4,1,1
"7",25,1,16,20,2,1,16,14,1,4,17,25,15,19,16,1,22,18,26,14,15,11,11,8
"8",1,12,12,11,24,10,4,22,13,10,25,20,25,6,19,10,6,8,24,16,10,2,17,2
"9",3,18,23,18,15,14,24,19,17,17,20,1,4,20,20,23,17,15,23,18,5,21,8,4
"10",13,17,26,15,8,16,1,17,26,1,15,26,13,15,1,24,1,1,18,1,14,17,13,20
"11",24,9,11,3,6,13,23,20,22,9,9,2,9,2,13,3,5,14,12,3,18,19,20,3
"12",14,13,25,1,11,12,15,26,6,7,12,14,24,1,15,15,26,26,9,26,1,15,5,23
"13",22,16,24,19,16,5,2,1,7,25,14,12,3,11,18,4,12,13,2,2,2,8,18,12
"14",15,2,7,22,19,24,10,5,4,11,21,10,12,4,3,20,4,24,15,15,4,23,15,9
"15",17,14,8,26,26,18,12,25,18,2,10,19,1,26,26,13,16,25,14,10,26,14,26,14
"16",6,10,3,9,3,2,13,23,10,24,24,15,6,18,4,19,19,11,8,8,13,25,23,18
"17",4,24,14,13,23,6,5,10,19,5,18,6,10,9,6,2,23,20,6,20,22,20,12,19
"18",21,8,2,7,17,4,3,18,23,20,8,5,16,23,8,16,9,23,20,23,9,9,9,15
"19",11,6,13,12,21,3,21,12,3,12,13,8,23,24,23,22,2,5,3,5,23,16,4,13
"20",19,21,4,4,22,20,20,13,8,6,22,11,7,16,10,7,15,6,22,7,7,6,3,22
"21",9,22,20,5,13,19,19,16,5,19,16,23,11,22,7,12,3,22,4,22,20,5,21,6
"22",2,4,22,10,4,25,11,3,11,3,3,4,8,25,17,11,10,9,11,19,11,12,16,24
"23",23,25,15,25,1,26,8,24,15,26,23,7,21,12,12,14,11,7,10,17,24,13,2,10
"24",5,3,17,21,20,23,22,21,21,18,5,22,18,7,5,8,18,12,5,6,8,10,10,17
"25",10,19,10,14,12,22,7,15,2,22,6,3,17,5,21,21,21,19,25,4,19,7,19,21
"26",7,15,6,24,10,7,18,6,9,21,7,21,5,3,14,9,7,3,21,24,21,18,7,16
