"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"1",10,2,17,19,15,25,12,20,17,9,25,14,20,25,1,14,6,25,7,22
"2",17,6,6,7,5,18,9,24,10,22,4,21,18,8,13,7,19,21,20,24
"3",11,3,24,4,17,3,7,13,5,10,5,11,12,6,22,6,7,15,5,3
"4",23,9,20,10,9,21,4,5,13,4,22,6,9,20,7,3,21,16,19,8
"5",2,23,16,24,10,23,18,11,11,19,10,4,24,5,14,1,1,19,13,9
"6",25,8,18,21,16,8,14,4,16,20,1,2,17,12,25,16,23,2,10,20
"7",8,24,8,16,23,11,8,26,9,24,16,7,14,17,2,9,24,6,8,5
"8",15,25,11,17,2,15,3,1,19,2,14,26,13,11,19,8,5,8,6,23
"9",21,18,5,25,13,5,19,16,4,11,9,17,4,23,8,2,18,13,1,21
"10",20,5,12,2,22,10,23,6,25,23,23,19,19,16,10,5,3,10,12,12
"11",9,11,25,22,24,16,24,22,23,12,17,9,8,9,17,4,16,9,23,25
"12",6,17,21,11,4,4,17,9,21,25,19,15,11,7,6,24,20,20,4,19
"13",12,12,2,23,11,2,15,7,15,8,20,22,21,3,4,12,13,3,25,2
"14",24,20,3,5,19,20,20,25,14,6,21,8,16,4,20,23,11,14,3,15
"15",3,7,7,9,8,6,11,21,22,5,7,5,5,15,9,20,2,5,16,16
"16",22,19,22,20,7,9,13,23,7,21,24,24,6,14,21,18,4,17,18,7
"17",16,16,9,13,25,1,6,8,3,13,18,3,25,18,16,21,8,23,17,26
"18",14,13,1,8,3,14,25,14,20,18,15,1,2,26,26,11,14,24,11,1
"19",4,22,19,6,21,7,16,17,18,3,11,23,22,21,24,10,22,18,21,14
"20",26,26,14,14,20,13,1,15,26,14,2,13,3,2,5,15,12,26,26,11
"21",13,21,23,3,6,17,21,3,6,16,6,10,15,24,3,17,9,7,24,17
"22",18,1,15,18,1,12,26,18,1,1,13,12,26,10,12,26,26,11,15,10
"23",5,4,4,26,18,19,2,10,12,26,12,16,10,22,23,25,10,12,22,13
"24",7,10,10,15,26,22,22,2,8,7,3,25,7,13,11,19,17,22,9,6
"25",19,15,26,12,12,24,5,19,24,17,8,20,23,19,15,22,15,4,2,4
"26",1,14,13,1,14,26,10,12,2,15,26,18,1,1,18,13,25,1,14,18
