"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24"
"1",3,7,23,10,12,5,23,13,6,6,24,15,2,10,5,1,18,18,25,21,15,10,5,12
"2",15,10,11,21,24,16,7,7,14,8,15,5,7,7,25,4,5,25,22,16,26,15,22,25
"3",26,5,16,9,23,17,8,11,16,10,18,23,21,22,3,15,13,17,1,23,5,2,26,14
"4",14,1,21,15,18,7,21,16,19,7,5,1,24,9,18,19,6,8,7,17,11,7,2,23
"5",7,6,12,16,19,2,3,20,5,24,3,13,18,12,21,18,17,13,20,9,24,4,24,3
"6",19,16,8,2,10,6,18,8,12,4,6,18,4,17,1,21,12,6,11,5,22,11,25,24
"7",18,2,18,19,6,12,15,18,11,26,1,24,13,26,11,13,26,26,17,26,16,19,12,26
"8",1,11,1,6,22,25,17,17,18,12,17,22,16,20,19,20,24,7,26,12,20,16,4,18
"9",21,22,14,20,25,20,24,10,8,2,8,4,19,13,7,22,21,15,24,14,6,25,13,5
"10",6,13,10,8,7,10,2,9,2,11,9,25,10,2,17,24,8,24,6,18,10,24,7,8
"11",10,3,4,12,26,13,25,4,15,25,20,19,1,11,15,11,3,10,8,3,4,18,14,4
"12",24,23,22,11,11,19,22,5,20,18,4,17,15,4,24,8,22,19,2,8,25,13,10,15
"13",17,18,13,5,16,9,5,3,23,22,22,2,9,25,9,17,20,22,10,13,18,8,3,2
"14",8,8,26,3,1,22,4,2,25,5,2,7,14,14,14,12,15,1,18,15,1,17,18,13
"15",16,4,5,23,3,26,19,26,22,15,14,10,12,3,4,23,14,23,15,1,13,1,15,10
"16",9,25,7,7,20,1,20,24,24,19,10,8,11,15,13,3,16,20,12,24,9,23,23,19
"17",13,14,25,1,4,15,26,22,1,13,25,9,23,24,20,14,4,16,13,11,23,26,19,11
"18",22,12,2,24,5,3,12,15,17,9,23,12,20,8,12,7,23,3,4,19,19,21,20,6
"19",2,19,20,18,9,14,9,21,3,17,16,3,5,5,8,16,25,9,3,10,3,12,21,22
"20",12,26,15,14,17,23,13,1,9,23,26,16,17,1,10,25,1,2,16,25,17,9,17,20
"21",25,15,17,26,13,4,10,19,26,14,19,14,3,18,23,26,2,14,23,7,2,20,9,16
"22",5,21,19,22,14,24,14,23,21,1,12,26,8,19,16,6,7,12,9,20,21,6,16,1
"23",20,20,24,4,21,11,1,25,13,16,13,21,22,6,6,5,9,4,21,4,12,14,8,7
"24",11,24,6,17,2,8,6,12,10,3,21,20,26,16,22,10,19,21,14,2,7,5,11,21
"25",4,9,9,25,15,21,11,6,7,20,7,11,25,23,2,2,11,11,5,6,14,22,6,17
"26",23,17,3,13,8,18,16,14,4,21,11,6,6,21,26,9,10,5,19,22,8,3,1,9
