"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24"
"1",21,11,17,26,26,20,20,25,11,6,24,11,8,14,14,3,8,26,27,27,2,30,16,6
"2",30,9,2,12,11,14,21,22,18,18,3,23,11,26,9,29,7,12,14,29,1,3,7,14
"3",7,22,3,4,22,17,19,28,23,2,7,6,28,24,23,22,13,17,7,22,17,21,22,7
"4",27,12,18,28,12,21,10,6,27,9,5,12,25,21,11,8,5,2,9,11,29,18,27,19
"5",26,17,13,6,9,12,11,23,10,7,28,5,17,10,2,24,18,3,28,3,22,17,3,9
"6",19,18,1,22,21,1,2,8,1,8,10,16,18,15,13,23,27,22,24,23,30,1,18,21
"7",9,20,25,14,1,29,6,15,16,3,9,3,3,12,4,15,14,15,25,25,5,9,29,25
"8",17,26,21,13,3,9,30,5,13,4,11,28,10,29,26,1,15,5,16,12,19,6,15,2
"9",4,15,6,27,14,25,29,9,15,17,19,1,12,2,25,28,19,4,15,26,25,28,13,23
"10",2,28,16,9,13,15,5,19,30,26,1,30,9,3,16,19,6,21,26,10,28,25,17,15
"11",15,3,19,21,8,30,1,30,14,23,13,20,16,11,30,13,1,13,3,24,21,16,1,3
"12",13,30,9,23,24,28,28,7,25,22,6,13,15,17,3,12,23,18,29,2,13,13,8,4
"13",10,23,10,30,16,3,12,1,20,12,30,19,2,23,29,18,3,14,22,17,4,20,2,18
"14",16,4,26,1,19,23,3,11,26,14,22,21,13,30,10,25,29,7,20,15,10,26,21,5
"15",14,10,8,19,2,22,27,24,4,29,26,25,29,28,5,16,11,19,21,14,24,19,19,24
"16",6,8,29,17,28,18,9,21,3,13,4,9,6,27,27,10,21,25,17,7,23,11,6,13
"17",22,1,12,25,4,16,16,14,24,1,21,29,7,16,21,27,24,27,1,1,15,14,14,29
"18",1,6,15,7,25,7,14,13,9,21,15,27,26,18,28,11,17,1,30,30,11,15,24,30
"19",5,14,7,24,6,8,4,20,22,25,25,10,24,13,17,4,22,9,11,8,3,4,20,8
"20",12,19,30,29,30,6,15,18,17,16,16,26,23,1,1,30,10,30,12,16,18,12,28,1
"21",24,16,24,2,15,2,26,26,21,20,20,2,14,19,24,9,2,28,23,5,16,8,23,22
"22",11,13,11,15,17,4,25,29,5,11,8,22,4,6,6,7,28,10,4,9,14,27,25,20
"23",8,24,27,11,5,5,18,12,19,19,23,14,20,22,7,5,26,24,6,28,27,24,5,17
"24",3,7,22,8,18,24,23,3,6,5,27,15,22,7,12,21,4,20,8,4,9,5,12,16
"25",28,29,14,10,29,27,17,17,7,24,29,17,5,20,19,17,20,11,2,18,26,2,30,11
"26",29,2,20,16,10,10,24,2,12,27,2,7,21,9,20,20,30,23,19,20,12,22,26,10
"27",20,27,23,20,23,11,8,16,8,28,12,4,19,25,15,26,9,8,5,6,7,29,11,27
"28",18,5,5,5,27,13,13,4,28,30,17,8,1,8,8,2,12,16,10,19,20,10,10,26
"29",23,25,28,18,20,19,22,27,29,10,18,18,30,4,18,14,25,6,18,21,8,7,4,28
"30",25,21,4,3,7,26,7,10,2,15,14,24,27,5,22,6,16,29,13,13,6,23,9,12
