"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24"
"1",9,4,15,23,26,6,9,7,21,16,5,4,19,21,4,18,25,1,6,16,25,12,25,20
"2",2,16,7,27,4,28,5,12,8,4,16,10,28,24,11,23,13,21,18,11,23,24,4,16
"3",4,22,14,11,5,23,15,3,16,11,4,23,12,11,5,8,21,5,25,21,6,1,2,19
"4",27,26,24,26,15,15,11,2,14,2,8,29,21,8,15,26,20,22,3,2,17,7,18,9
"5",23,2,16,29,17,8,28,9,22,6,17,22,4,20,28,21,19,27,21,22,4,14,7,15
"6",22,27,22,14,9,1,16,10,24,12,24,1,10,13,3,12,3,26,14,14,29,20,3,6
"7",12,7,9,8,21,20,21,26,12,8,26,18,9,25,12,15,24,24,26,3,28,3,24,12
"8",13,18,29,24,6,5,7,17,6,29,27,26,16,17,22,3,15,28,17,19,19,2,26,18
"9",26,5,5,6,8,25,6,5,23,20,25,24,17,23,19,17,5,6,13,7,13,10,16,26
"10",24,13,25,1,24,14,10,14,13,3,28,5,20,16,14,2,28,14,27,23,11,26,10,28
"11",1,1,21,10,16,10,18,1,10,24,29,17,29,1,1,28,8,17,15,27,14,16,20,14
"12",6,24,23,7,28,29,19,16,26,9,18,9,22,18,23,22,14,11,12,20,3,5,22,1
"13",28,17,6,25,29,19,12,23,2,7,13,21,5,19,2,9,9,3,16,26,16,18,19,4
"14",20,29,28,15,12,11,29,29,17,10,12,15,26,29,10,16,7,2,20,9,5,21,28,21
"15",3,19,20,19,20,9,4,20,15,22,23,19,11,26,24,11,27,7,8,4,8,23,5,5
"16",15,3,26,18,25,26,20,27,5,15,3,28,13,12,20,19,6,18,9,17,20,27,1,25
"17",25,21,8,5,22,7,26,19,11,14,15,20,27,3,25,5,12,8,5,12,26,4,6,17
"18",19,28,3,13,18,21,1,18,7,18,22,12,7,2,6,20,23,29,2,18,2,13,14,22
"19",21,6,18,21,11,22,3,28,20,25,14,8,23,5,16,14,18,10,29,25,27,9,8,2
"20",10,15,11,2,27,4,8,24,25,27,9,25,18,9,8,24,11,23,24,10,7,19,9,11
"21",17,9,2,20,2,17,23,13,27,13,21,27,25,6,9,6,26,15,10,15,9,28,29,7
"22",7,12,13,4,10,13,2,15,18,1,6,16,1,10,29,13,1,13,1,24,22,25,27,13
"23",8,10,17,17,3,2,17,25,3,5,20,3,2,7,17,27,16,4,11,8,10,8,13,24
"24",5,14,10,22,14,16,25,22,28,21,11,7,14,28,13,7,2,25,4,28,12,6,11,29
"25",18,11,27,3,7,27,27,8,9,28,7,11,3,22,7,4,17,16,7,6,15,15,12,3
"26",11,25,12,28,23,24,22,6,19,26,19,6,6,4,18,10,10,12,23,5,18,22,23,23
"27",14,8,4,16,19,12,13,11,1,17,2,2,24,14,27,1,4,20,22,1,1,11,17,8
"28",16,23,1,12,13,3,24,4,4,19,10,13,15,27,21,25,22,9,28,29,21,29,15,10
"29",29,20,19,9,1,18,14,21,29,23,1,14,8,15,26,29,29,19,19,13,24,17,21,27
