"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"1",15,24,21,24,1,24,12,8,14,14,24,21,15,11,23,12,17,9,6,3
"2",4,8,5,23,3,9,20,18,7,22,9,3,16,14,11,18,7,15,9,4
"3",24,19,12,10,6,22,19,21,8,17,23,10,10,15,12,8,24,22,20,22
"4",21,7,16,14,11,20,8,24,18,18,5,23,11,19,6,20,8,5,7,16
"5",18,6,6,9,20,19,14,17,3,2,21,8,17,4,19,23,18,8,12,15
"6",7,17,10,17,23,16,2,15,21,24,2,14,20,16,17,2,23,12,5,13
"7",19,22,4,19,13,17,22,11,12,8,10,2,5,21,21,4,9,6,23,12
"8",9,14,9,4,10,18,24,7,19,21,18,20,4,3,20,15,6,17,11,20
"9",3,18,19,13,7,14,6,23,17,10,15,5,22,5,22,21,13,19,21,8
"10",2,15,17,22,17,4,7,1,4,20,14,7,7,18,18,11,16,7,15,19
"11",8,23,1,12,16,10,13,4,24,19,22,12,12,24,5,24,2,11,19,7
"12",23,10,22,20,22,7,23,9,20,7,19,16,18,17,9,17,14,23,17,14
"13",17,4,11,3,9,6,9,6,11,16,17,4,21,20,2,3,19,18,8,11
"14",1,5,13,16,12,1,16,13,1,13,3,19,13,1,24,5,1,24,14,10
"15",11,11,7,15,21,3,21,22,16,15,16,11,2,6,4,7,15,3,3,2
"16",20,2,20,11,19,11,3,12,9,23,11,22,3,2,10,13,21,14,22,5
"17",16,9,23,2,2,8,11,19,22,12,8,9,1,9,16,1,3,10,18,18
"18",14,16,3,18,5,13,10,5,2,9,7,15,6,7,7,19,20,21,2,17
"19",13,21,15,5,24,2,17,14,5,11,12,24,24,23,13,22,10,13,1,23
"20",12,1,2,21,15,23,5,20,13,3,13,17,23,12,1,10,4,16,16,21
"21",22,20,8,8,8,5,1,2,10,6,4,13,19,8,14,14,5,4,13,1
"22",6,13,24,6,4,15,4,16,6,4,20,18,8,22,8,6,12,2,10,9
"23",10,3,18,7,18,21,18,3,23,5,6,6,9,13,15,9,11,20,4,6
"24",5,12,14,1,14,12,15,10,15,1,1,1,14,10,3,16,22,1,24,24
