"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24"
"1",1,1,29,16,17,4,29,20,1,23,30,7,2,17,15,5,1,15,16,12,16,30,11,16
"2",18,7,21,25,11,9,8,3,10,28,16,12,27,14,10,29,2,30,20,24,28,9,23,15
"3",28,16,25,28,28,12,1,13,16,18,15,2,22,18,3,17,19,2,5,11,19,26,2,30
"4",2,26,7,21,6,10,17,7,21,25,5,8,5,7,9,24,24,11,10,9,9,14,22,24
"5",6,29,20,7,12,7,26,4,27,4,19,25,16,19,18,22,20,5,22,20,29,23,4,17
"6",14,13,3,22,22,3,13,28,8,6,21,4,13,27,28,26,23,9,26,22,15,4,13,21
"7",21,28,5,13,25,28,12,18,12,29,18,22,4,22,11,3,10,6,2,25,30,13,15,20
"8",23,20,24,8,2,13,24,27,9,21,23,18,19,6,12,15,8,3,24,18,5,5,28,27
"9",4,12,22,14,19,27,7,8,4,9,4,20,26,2,13,4,21,14,27,27,12,16,9,28
"10",29,11,9,29,5,18,18,2,17,13,24,29,6,29,19,10,6,17,30,3,17,18,16,29
"11",5,17,11,12,4,17,14,29,15,3,22,10,8,4,4,18,7,29,4,28,18,19,5,4
"12",17,21,1,4,16,14,2,6,3,22,29,28,17,3,23,20,18,20,9,8,21,3,10,9
"13",19,24,16,26,8,29,21,22,25,10,28,6,29,9,20,7,27,24,14,14,25,11,8,23
"14",13,8,18,18,7,30,22,12,2,15,13,16,9,15,30,30,13,1,1,1,1,10,1,14
"15",9,22,10,11,27,21,23,10,5,12,8,9,21,26,24,21,4,27,12,15,23,24,29,26
"16",26,14,28,20,18,20,28,30,28,27,3,23,14,5,27,28,16,21,8,23,20,22,17,19
"17",3,25,26,24,20,15,9,24,20,5,17,26,24,21,26,8,5,12,6,10,10,8,24,8
"18",30,30,23,10,24,16,20,1,14,16,11,1,1,13,25,11,30,18,18,29,14,7,20,3
"19",12,18,17,19,30,2,16,15,30,14,14,17,10,1,2,1,15,23,28,2,26,1,30,13
"20",20,3,2,23,26,24,27,5,19,2,27,15,18,8,8,12,17,13,11,21,4,27,25,11
"21",10,15,15,1,23,26,15,17,24,30,26,3,28,12,17,27,9,7,29,5,11,21,18,2
"22",8,4,12,27,13,22,5,23,13,20,10,27,7,10,22,16,28,4,23,17,24,25,27,5
"23",7,5,6,9,21,19,25,25,18,26,12,21,23,23,5,13,29,28,19,6,13,6,3,18
"24",27,10,8,5,10,5,19,26,6,7,6,13,25,16,14,6,22,10,7,4,27,20,21,7
"25",22,19,4,17,3,11,10,11,23,24,9,11,20,20,29,2,12,22,25,19,6,29,6,6
"26",16,2,30,3,1,23,11,9,29,11,2,5,15,28,7,14,11,8,13,16,22,2,14,10
"27",11,9,19,2,14,6,3,14,26,19,25,14,12,24,21,9,26,26,3,26,3,17,26,25
"28",15,23,14,30,15,1,30,16,11,17,1,30,30,30,1,19,14,16,15,30,2,15,12,1
"29",24,27,27,15,9,25,6,19,7,8,20,19,11,25,6,25,25,25,21,7,8,28,19,12
"30",25,6,13,6,29,8,4,21,22,1,7,24,3,11,16,23,3,19,17,13,7,12,7,22
