"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24"
"1",19,5,11,21,8,21,17,15,20,20,24,6,4,20,4,19,11,17,23,7,6,10,6,16
"2",1,2,25,2,13,12,7,4,12,14,15,2,22,18,3,13,24,25,9,8,7,13,15,2
"3",3,11,4,15,5,19,3,8,7,19,8,21,10,17,18,16,8,8,22,18,5,24,18,5
"4",13,13,17,10,24,10,16,7,14,9,2,4,1,25,24,24,3,4,17,2,14,9,22,11
"5",4,21,15,6,18,20,4,18,19,6,23,10,5,21,9,8,6,10,7,19,20,19,16,19
"6",2,10,24,5,17,3,25,13,22,17,12,12,8,8,16,10,14,7,21,15,3,1,1,23
"7",16,14,18,12,1,25,13,23,25,25,13,13,12,13,25,1,25,13,2,1,2,18,24,13
"8",6,22,20,19,7,11,19,17,16,13,4,17,23,19,21,23,10,22,5,22,10,16,5,21
"9",5,15,8,20,22,23,11,3,2,16,9,16,16,24,15,4,18,15,12,3,23,7,2,18
"10",22,16,5,8,16,14,10,10,5,24,5,9,3,4,10,17,15,24,6,20,8,5,21,22
"11",17,4,3,3,12,8,9,20,15,22,18,25,19,23,23,6,4,16,15,21,16,3,11,12
"12",8,6,7,17,3,6,6,19,18,4,7,19,7,7,7,22,23,9,10,5,19,4,14,15
"13",21,7,23,16,10,15,22,5,9,7,16,23,6,6,17,5,5,23,13,6,18,22,17,20
"14",11,1,14,25,14,13,14,25,1,18,11,11,25,11,1,14,1,2,16,13,24,17,25,24
"15",24,8,9,13,25,17,2,14,23,2,6,3,24,9,22,11,20,19,19,14,13,23,9,17
"16",15,24,13,4,9,2,12,24,4,12,3,15,2,14,5,7,17,21,24,12,15,25,3,7
"17",23,18,19,18,19,18,23,21,8,5,14,22,18,22,6,15,22,11,20,16,9,2,19,8
"18",20,9,21,23,23,4,8,9,10,21,21,14,9,15,12,21,21,5,4,23,17,21,7,10
"19",12,3,12,11,15,24,18,11,17,8,1,24,13,1,2,3,12,3,1,24,12,12,8,1
"20",10,23,16,24,4,7,1,6,13,10,19,5,17,2,14,2,16,14,25,25,11,8,23,14
"21",9,12,6,22,20,5,20,22,3,3,22,8,11,10,20,9,7,20,3,10,4,11,13,3
"22",14,25,1,1,11,16,15,1,11,1,25,18,15,12,13,25,19,1,14,11,1,15,10,25
"23",18,17,22,7,6,22,5,16,6,11,17,7,20,5,19,18,9,6,11,9,22,6,4,4
"24",7,20,10,9,21,9,21,12,21,23,20,20,21,3,11,20,13,18,18,4,21,20,20,6
"25",25,19,2,14,2,1,24,2,24,15,10,1,14,16,8,12,2,12,8,17,25,14,12,9
