"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37"
"19",2,2,2,3,5,3,6,3,3,6,5,1,6,3,3,3,4,1,1,2,1,3,6,6,1,5,1,4,2,6,6,4,2,4,3,4,1
"20",6,5,3,2,5,4,2,4,3,4,1,1,2,4,1,5,3,5,6,1,3,5,4,6,6,6,2,2,1,4,2,6,3,2,3,6,5
"21",4,1,2,3,3,2,6,1,1,1,6,1,2,6,4,5,6,3,6,4,4,2,6,3,3,4,3,2,5,5,4,6,5,4,5,1,2
"22",2,6,3,4,3,5,4,4,1,2,5,5,2,2,4,1,2,5,3,3,3,2,5,6,2,1,3,2,6,5,6,2,1,5,1,5,6
"23",3,5,6,1,1,2,6,1,6,4,4,6,3,1,4,2,2,3,3,1,5,2,4,2,4,6,6,4,1,4,1,3,2,2,4,4,6
"24",5,5,6,3,3,5,6,6,6,4,1,3,5,4,5,3,4,1,4,6,6,4,6,4,3,1,4,5,3,2,5,6,1,1,2,5,5
"25",4,2,1,2,4,4,3,6,3,3,5,6,4,6,1,5,6,2,4,6,1,6,1,3,1,3,5,3,1,2,4,3,2,5,2,5,6
"26",6,6,5,6,4,1,4,5,1,2,4,2,4,3,2,6,5,3,3,2,5,5,5,1,6,1,4,4,3,5,1,4,1,6,3,2,2
"27",3,2,5,2,1,5,2,6,1,6,5,3,3,4,2,4,1,5,2,5,6,4,4,1,1,5,2,3,3,5,2,6,5,5,4,2,6
"28",3,2,5,2,2,1,5,3,4,3,4,3,6,6,6,1,5,6,5,4,6,6,6,5,6,5,3,1,1,3,2,2,3,4,1,3,4
"29",4,3,4,1,2,2,2,6,4,3,3,4,1,1,2,3,2,3,6,5,1,3,5,6,6,2,5,3,5,2,1,5,1,6,2,2,2
"30",1,3,3,5,2,2,4,6,5,4,5,2,6,1,1,2,3,4,5,5,4,6,4,1,5,5,6,6,4,6,3,1,4,1,2,4,5
"31",4,6,1,3,2,4,3,3,5,4,1,3,4,3,5,5,1,6,1,2,2,1,2,1,1,4,4,1,2,3,2,1,3,6,1,5,2
"32",6,3,5,5,5,5,4,1,2,5,2,5,1,5,3,6,4,1,4,5,6,3,5,1,1,4,6,2,5,6,2,1,3,4,2,4,3
"33",5,5,1,2,6,1,5,5,2,2,2,4,6,2,3,3,3,5,3,6,3,1,6,2,2,6,5,1,5,3,3,5,5,4,5,6,4
"34",6,4,3,1,1,6,1,3,2,1,4,1,2,2,4,5,6,4,2,4,2,4,2,5,2,5,6,6,3,5,3,2,1,1,3,2,3
"35",5,2,6,5,2,4,5,3,2,4,6,6,4,1,5,4,2,2,3,4,3,6,1,5,1,4,4,2,6,1,2,6,3,1,5,3,1
"36",3,5,1,4,1,4,1,4,6,3,3,6,2,2,3,3,6,6,6,3,6,6,1,3,4,1,5,4,6,4,4,6,6,3,3,1,5
"37",3,2,4,4,4,5,6,5,5,2,3,1,6,6,4,6,3,5,6,2,1,6,2,2,3,1,2,4,6,2,1,2,2,2,4,4,2
"38",6,1,4,6,4,4,3,6,6,5,5,1,1,1,2,1,4,2,3,6,4,2,3,5,3,6,3,1,1,4,5,3,2,3,6,2,4
"39",5,4,1,5,1,5,6,5,1,5,2,2,4,4,3,2,5,2,5,5,1,1,2,4,5,4,1,5,6,4,1,2,4,5,1,3,4
"40",5,3,4,2,2,2,1,3,5,6,6,1,2,3,5,6,4,6,3,6,3,6,4,4,4,3,1,5,6,4,4,3,5,6,1,6,1
"41",4,2,4,2,6,6,6,1,4,1,1,6,5,3,2,2,5,3,1,4,5,4,4,6,4,2,1,1,3,4,3,1,4,6,5,3,6
"42",3,6,6,1,6,2,2,4,4,5,6,4,6,6,3,4,2,3,4,4,4,2,1,3,2,1,1,6,4,6,3,3,2,5,1,1,2
"43",4,6,3,1,4,3,5,6,6,4,2,5,2,5,6,5,1,5,2,4,1,5,6,2,5,5,4,4,6,6,5,4,3,3,6,1,4
"44",2,4,1,4,4,5,1,1,5,2,4,5,2,4,6,6,1,2,4,6,4,3,6,6,2,6,2,5,2,2,1,4,4,3,2,3,1
"45",6,4,4,1,3,5,4,4,4,4,3,5,5,6,6,1,6,2,2,3,3,3,2,1,3,6,3,5,1,1,1,6,6,6,5,2,3
"46",4,4,5,3,1,3,5,2,1,2,4,5,6,2,2,6,2,6,1,5,1,3,2,4,5,3,2,2,1,2,5,3,6,2,3,1,5
"47",1,6,3,6,1,1,5,1,4,6,3,1,2,4,2,2,5,6,4,4,5,1,3,2,1,3,3,3,5,1,5,5,2,1,3,4,3
"48",6,3,2,1,4,1,3,5,1,1,2,6,3,3,5,1,3,4,4,2,6,1,4,5,4,4,2,6,4,1,5,3,3,1,2,1,1
"49",3,4,6,6,1,4,6,5,3,1,4,2,1,5,4,1,1,4,4,4,2,5,5,6,2,6,4,4,4,3,5,3,6,6,6,5,1
"50",1,4,5,2,6,6,3,5,6,1,5,1,3,1,5,4,6,1,1,1,4,3,6,3,5,3,3,3,6,2,3,1,3,3,4,5,5
"51",1,3,5,6,6,5,5,2,6,1,1,5,5,2,4,4,6,5,5,3,3,4,3,4,3,6,6,3,1,5,5,5,3,5,1,2,2
"52",4,2,2,5,5,1,4,4,6,5,6,6,3,3,2,5,5,6,6,1,3,3,4,3,3,5,4,6,3,1,1,2,6,5,6,5,5
"53",2,1,6,3,6,3,1,5,1,5,3,2,1,2,6,2,2,2,5,1,5,4,3,2,3,3,5,1,2,3,4,2,6,6,2,4,3
"54",5,5,2,6,4,6,1,3,5,2,6,3,6,1,6,1,4,4,4,2,6,3,3,2,6,3,2,3,4,6,2,6,5,4,6,4,2
"55",2,4,4,1,2,5,5,6,5,6,6,5,4,4,1,6,4,4,5,1,4,2,1,6,5,3,6,1,4,4,6,4,4,5,4,5,1
"56",1,1,2,1,5,2,2,1,4,1,4,4,5,3,5,4,3,1,5,5,2,4,2,2,3,1,4,1,6,5,1,5,4,2,3,5,6
"57",1,6,2,3,3,3,3,4,4,2,2,2,3,5,1,2,4,2,3,1,2,6,3,4,1,2,5,1,1,5,2,1,5,2,5,1,1
"58",6,6,3,1,2,3,4,1,6,2,5,3,1,5,1,4,3,1,3,3,6,2,1,5,6,2,1,4,3,2,4,2,4,4,6,6,4
"59",6,1,2,5,6,4,3,1,5,6,4,2,4,4,3,2,2,6,2,1,1,4,6,4,4,1,6,3,5,1,3,6,5,3,2,2,3
"60",2,3,1,2,3,6,4,3,3,5,1,3,1,1,3,4,5,5,4,6,2,5,5,2,6,1,3,5,2,1,6,1,4,2,4,1,2
