"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35"
"20",4,3,6,3,1,5,4,5,6,6,4,1,5,6,5,2,6,4,3,3,5,2,6,5,6,3,6,2,1,3,4,2,5,1,4
"21",3,3,5,5,5,6,1,3,4,5,6,4,6,6,1,1,2,3,4,3,4,3,1,4,1,1,6,5,4,6,2,5,2,4,1
"22",6,3,6,4,2,6,4,1,1,4,4,6,4,5,5,3,3,5,5,3,1,4,2,2,2,6,2,4,2,1,6,5,3,6,6
"23",2,2,3,6,3,5,5,4,4,5,1,2,3,4,4,1,5,1,3,4,6,5,1,6,1,6,3,5,1,2,4,6,2,1,4
"24",4,1,4,1,3,3,6,1,6,6,2,5,6,4,3,4,5,1,6,1,2,3,6,3,4,2,2,3,4,2,5,1,1,5,4
"25",3,1,5,6,5,5,4,6,5,1,4,1,1,3,2,5,4,1,2,1,2,5,3,1,2,3,2,4,4,6,5,2,3,4,6
"26",5,4,5,5,6,6,6,3,3,2,3,2,3,6,6,6,2,1,4,5,2,1,4,3,4,4,5,6,1,3,4,1,1,4,1
"27",2,2,4,3,2,4,6,4,6,1,2,3,4,2,5,1,3,5,6,2,3,5,4,3,2,5,5,6,5,6,1,2,5,6,1
"28",1,4,6,6,5,2,6,4,3,2,1,6,2,2,4,2,6,6,3,6,5,1,2,3,2,3,3,3,2,5,5,2,4,3,6
"29",2,6,3,5,4,1,5,5,1,2,1,5,4,6,5,5,3,1,6,6,1,5,5,5,3,3,3,4,5,5,4,4,2,1,5
"30",4,3,5,2,2,2,4,6,3,6,1,3,4,3,2,1,2,1,2,6,2,2,1,6,4,2,3,1,6,4,2,2,3,2,1
"31",4,6,4,5,4,5,4,1,4,1,2,4,2,1,2,2,2,4,2,3,3,4,6,1,6,6,1,1,1,1,3,6,5,4,4
"32",5,5,1,5,2,4,5,6,1,3,6,1,2,1,5,6,2,5,2,6,5,3,4,6,2,2,5,4,5,3,3,6,4,3,4
"33",2,2,3,2,3,1,1,3,4,1,3,6,5,4,1,5,1,6,2,5,5,1,5,2,6,3,1,5,5,3,5,5,3,5,4
"34",2,4,5,4,2,3,4,2,3,5,5,3,3,5,2,5,6,3,6,2,3,1,6,5,2,1,3,1,5,1,3,6,6,6,6
"35",5,2,6,1,3,2,3,3,5,3,1,2,5,5,2,6,4,6,5,4,1,3,4,4,1,5,6,1,3,5,6,6,4,2,5
"36",3,3,2,4,5,1,1,6,5,3,5,5,4,1,6,4,4,4,6,5,2,1,3,2,4,3,5,1,1,4,1,6,6,2,2
"37",3,4,6,4,2,6,5,5,4,1,3,5,5,1,1,6,5,5,5,4,6,4,3,6,5,1,4,3,2,6,2,1,3,6,4
"38",3,6,2,4,1,3,2,6,2,3,1,4,3,3,1,1,5,5,4,3,2,4,6,2,1,1,6,2,6,2,4,1,1,4,3
"39",4,2,5,5,3,1,1,1,2,6,2,3,2,6,5,5,1,4,3,4,6,5,6,1,2,4,3,3,4,5,2,1,4,6,2
"40",6,5,2,3,4,3,1,4,5,3,4,2,5,5,4,4,5,1,2,6,6,5,4,1,5,5,4,2,6,1,6,2,2,6,5
"41",1,5,2,2,4,6,5,6,6,6,4,4,2,4,3,6,1,4,3,4,1,2,1,5,3,6,6,5,4,4,5,1,4,5,2
"42",6,6,4,2,6,1,4,5,2,4,6,3,4,5,2,4,6,5,2,5,3,4,5,2,1,2,4,6,1,6,1,3,5,5,4
"43",1,5,4,1,1,5,5,4,4,4,5,3,1,6,6,3,4,3,6,5,4,2,3,3,5,4,1,2,6,5,6,6,2,6,2
"44",4,4,1,1,3,1,2,4,5,6,5,6,3,6,5,2,2,3,5,3,3,6,2,3,6,1,5,6,3,6,4,1,3,3,6
"45",2,4,1,3,1,3,5,2,2,5,5,5,6,2,3,1,4,6,2,2,6,3,4,1,3,3,4,6,1,1,6,4,3,2,1
"46",3,5,5,5,1,2,6,3,5,6,5,6,6,3,6,4,2,2,1,6,4,6,5,3,1,6,4,2,2,3,4,4,6,4,3
"47",3,6,6,1,6,4,1,3,6,5,6,1,2,3,1,2,3,5,4,6,1,4,3,1,4,5,3,3,2,3,3,4,1,2,6
"48",4,5,2,1,6,5,3,1,3,2,3,4,4,3,5,5,6,2,1,1,5,4,2,5,4,2,6,5,1,5,6,6,4,5,5
"49",6,2,4,6,2,3,3,4,6,3,4,6,1,5,2,5,2,6,1,2,1,4,1,5,5,2,5,3,2,2,3,3,1,1,3
"50",4,6,1,6,1,5,3,6,3,2,3,2,6,6,3,1,1,6,6,4,4,6,4,4,4,5,2,5,2,4,5,2,5,3,5
"51",1,4,6,2,2,2,2,2,4,2,2,1,3,2,6,6,6,3,4,3,4,1,1,2,3,5,4,6,4,1,1,5,1,3,3
"52",6,1,5,3,6,3,5,6,1,5,3,5,1,3,6,3,6,6,3,2,4,5,5,4,6,5,6,4,4,6,3,5,2,4,2
"53",1,4,3,1,3,2,1,6,3,4,6,2,2,1,4,3,5,2,1,2,2,2,5,5,3,4,1,5,1,6,2,3,1,4,5
"54",5,4,1,1,5,6,6,5,3,4,3,6,6,2,1,2,4,2,3,5,2,6,2,4,2,4,3,3,5,2,1,6,6,5,3
"55",6,6,2,4,1,4,5,2,5,5,3,6,5,3,4,4,1,3,3,2,1,1,4,4,6,1,1,6,3,5,1,5,2,2,3
"56",5,1,2,3,1,5,1,5,1,6,2,4,1,2,3,5,3,2,4,5,4,1,2,1,1,2,4,2,2,4,4,4,2,6,5
"57",1,5,3,3,6,6,2,2,5,4,2,5,3,6,6,4,3,6,1,2,5,5,3,5,1,2,3,1,6,3,1,2,4,2,4
"58",5,6,6,1,5,6,3,3,6,3,1,5,1,4,4,1,5,3,1,4,6,3,6,2,3,1,1,4,4,4,4,3,6,3,1
"59",4,3,3,5,6,3,3,3,2,5,2,1,3,3,4,1,5,6,5,5,2,1,3,5,5,2,1,6,6,6,6,4,6,5,2
"60",6,1,2,2,4,3,6,3,2,1,4,3,2,4,6,6,4,5,5,3,3,6,1,1,4,1,1,3,6,3,2,4,5,1,5
