"","V1","V2","V3"
"1",2,1,3
"2",1,2,1
"3",2,2,2
"4",3,3,1
"5",1,1,1
"6",3,1,3
"7",3,3,1
"8",3,3,1
"9",1,1,1
"10",1,3,1
"11",1,1,3
"12",3,1,1
"13",3,2,1
"14",2,2,2
"15",3,2,2
"16",1,1,3
"17",3,1,2
"18",3,1,2
"19",1,2,2
"20",1,1,3
"21",2,3,3
"22",1,3,1
"23",3,1,1
"24",1,3,2
"25",2,3,1
"26",2,1,2
"27",3,2,1
"28",1,3,1
"29",3,1,3
"30",2,2,2
"31",3,2,2
"32",3,2,3
"33",2,2,3
"34",3,2,2
"35",1,3,3
"36",2,1,1
"37",2,2,3
"38",2,3,1
"39",1,2,3
"40",2,1,3
"41",3,1,1
"42",1,3,3
"43",1,1,2
"44",1,1,1
"45",2,3,1
"46",2,2,3
"47",3,1,1
"48",2,2,3
