"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1",1,1,3,2,2,3,2,3,2
"2",2,1,3,2,1,3,3,3,2
"3",1,1,1,2,2,1,2,3,2
"4",1,1,3,1,1,3,1,2,2
"5",2,2,1,3,3,2,2,1,3
"6",2,3,1,2,2,3,2,3,1
"7",3,2,3,1,3,3,2,3,3
"8",3,3,1,3,2,3,1,3,2
"9",2,3,1,2,1,1,1,1,2
"10",1,3,1,3,3,3,3,1,1
"11",1,1,1,3,2,1,3,2,2
"12",3,2,1,2,1,1,2,1,2
"13",2,1,3,3,1,1,2,1,3
"14",1,1,2,2,2,3,3,2,2
"15",2,1,2,3,3,3,3,3,3
"16",2,2,2,3,1,2,3,1,1
"17",3,2,1,2,3,2,2,3,3
"18",2,3,2,1,2,1,3,3,3
"19",1,1,1,2,2,2,2,2,2
"20",3,2,1,2,2,1,2,2,1
"21",3,2,2,3,1,2,2,3,2
"22",3,3,1,2,3,1,3,2,2
"23",3,2,1,1,2,2,3,1,1
"24",3,3,2,1,2,2,2,2,2
"25",2,1,3,1,1,3,3,3,3
"26",3,3,2,2,1,1,1,1,2
"27",1,3,1,3,2,3,2,2,3
"28",1,3,3,1,2,3,3,1,2
"29",2,2,2,3,1,3,3,2,3
"30",1,2,3,2,2,1,3,1,3
"31",2,2,3,2,3,3,3,3,1
"32",3,2,1,2,3,3,3,1,2
"33",3,2,3,1,2,3,3,3,2
"34",1,3,2,2,3,1,2,1,2
"35",1,3,2,1,2,1,3,1,3
"36",1,3,3,3,3,3,3,1,1
"37",1,2,2,3,2,3,2,3,3
"38",2,3,1,2,1,1,3,3,1
"39",1,1,2,3,2,1,3,1,1
"40",1,3,3,2,1,2,3,3,1
"41",1,3,2,2,1,3,1,3,1
"42",3,1,3,1,1,3,2,1,2
"43",1,2,2,2,1,1,1,1,3
"44",3,2,2,1,1,2,2,3,1
"45",1,1,2,3,3,2,1,3,3
