"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",4,3,3,2,3,2,1,3
"2",4,1,2,3,4,3,3,3
"3",3,1,4,4,1,1,1,1
"4",1,4,1,2,1,2,2,1
"5",1,4,3,1,4,2,3,3
"6",1,4,2,2,1,1,1,1
"7",2,4,1,1,3,2,3,4
"8",2,3,2,3,1,1,1,2
"9",3,3,1,4,1,4,3,1
"10",3,4,3,2,3,4,4,1
"11",2,1,3,4,4,2,4,4
"12",4,3,4,3,2,4,4,3
"13",4,3,1,2,3,1,2,1
"14",1,4,1,1,1,3,4,1
"15",3,4,4,4,4,4,4,3
"16",3,1,4,3,3,2,2,3
"17",2,3,2,1,1,4,4,4
"18",1,1,1,3,1,1,1,3
"19",3,2,2,1,3,4,2,3
"20",2,1,4,3,3,4,1,3
"21",3,2,1,3,1,1,3,1
"22",3,3,3,2,4,1,2,2
"23",3,2,2,4,1,4,4,3
"24",2,1,1,3,4,4,1,2
