"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18"
"1",2,3,3,2,1,3,1,2,2,2,1,3,3,3,3,1,3,3
"2",2,1,3,2,2,3,1,1,3,3,2,3,1,1,3,1,3,1
"3",2,2,2,3,3,2,2,1,1,1,2,3,2,3,3,3,3,3
"4",2,1,2,2,1,1,3,2,1,2,2,1,1,1,1,2,3,2
"5",1,3,1,3,2,2,1,3,1,1,2,3,3,2,3,3,3,2
"6",2,2,2,1,1,2,3,3,1,1,1,1,2,3,1,3,3,2
"7",3,3,2,2,2,2,2,3,2,1,2,1,3,1,3,2,1,2
"8",1,2,3,2,3,3,3,1,1,2,2,1,2,1,3,1,2,1
"9",3,2,1,3,2,3,3,3,2,3,3,1,1,1,3,1,2,2
"10",2,1,2,1,3,2,2,2,1,1,3,1,2,2,1,2,3,3
"11",1,3,1,1,1,2,2,3,1,3,3,2,2,2,3,1,2,3
"12",3,2,1,3,3,3,2,3,2,1,2,1,2,3,1,1,1,1
"13",3,3,3,2,3,1,1,3,2,3,1,1,3,3,2,2,2,3
"14",2,1,2,2,2,1,1,3,2,2,1,1,1,2,3,2,3,2
"15",3,2,1,3,1,2,3,2,1,1,1,1,2,2,3,1,2,2
"16",3,3,1,1,3,1,3,1,1,2,3,3,2,2,2,2,1,3
"17",3,2,2,2,1,3,1,1,1,2,2,2,3,1,1,3,1,2
"18",3,1,3,1,1,1,3,3,2,1,1,3,3,3,2,1,2,1
"19",2,2,3,1,3,1,2,1,3,3,2,3,2,2,2,2,3,1
"20",3,2,3,3,3,1,1,3,3,2,2,3,1,1,3,2,2,1
"21",3,3,3,3,2,3,3,1,3,1,3,3,2,3,2,2,2,2
"22",3,2,3,3,1,1,2,3,3,2,1,3,2,2,2,1,2,3
"23",2,2,2,2,3,2,2,2,2,3,1,2,3,2,1,3,3,1
"24",2,3,3,1,3,2,3,3,1,2,2,1,3,1,1,3,1,3
"25",3,3,2,1,1,2,2,2,1,1,3,3,2,3,2,2,1,3
"26",3,1,3,3,3,1,3,2,2,2,1,3,2,2,3,3,1,1
"27",1,2,2,3,2,1,3,3,3,3,1,3,3,2,1,3,2,3
"28",2,1,1,3,2,2,2,1,1,3,2,1,1,3,2,2,3,3
"29",3,1,3,1,3,1,3,1,3,3,3,1,1,2,3,3,1,3
"30",1,1,3,1,3,1,2,3,3,1,2,1,2,2,2,2,1,1
"31",3,2,3,3,2,2,2,3,1,1,3,1,1,2,3,1,1,2
"32",2,3,1,1,1,2,3,1,1,2,2,2,2,3,1,2,3,2
"33",3,3,1,1,1,1,1,1,1,2,3,1,3,1,1,3,3,3
