"","V1","V2","V3","V4","V5","V6"
"1",4,3,1,2,2,4
"2",3,4,3,2,1,1
"3",3,1,4,1,2,3
"4",3,3,4,1,3,1
"5",3,2,3,2,1,4
"6",1,3,3,4,4,4
"7",2,3,2,4,4,1
"8",2,2,1,3,3,2
"9",1,4,3,4,3,3
"10",1,4,3,1,2,4
"11",1,3,4,3,1,2
"12",3,3,2,3,2,1
"13",3,1,4,4,2,1
"14",4,3,1,4,1,4
"15",3,3,1,4,2,3
"16",4,4,4,2,1,2
"17",3,1,2,4,4,4
"18",2,2,3,3,1,3
"19",3,1,3,4,2,3
"20",4,3,1,3,1,4
"21",2,2,1,1,1,4
"22",1,4,4,4,4,4
"23",2,3,4,4,2,1
"24",1,1,1,1,3,3
"25",2,1,3,4,4,2
"26",3,2,2,2,3,4
"27",2,1,2,1,3,2
"28",4,4,1,1,3,4
"29",4,3,2,4,3,2
"30",4,3,4,4,4,3
"31",1,3,1,1,3,3
"32",4,3,1,2,4,1
