"","V1","V2","V3"
"1",2,1,2
"2",2,3,3
"3",2,2,2
"4",1,3,2
"5",1,3,1
"6",1,1,1
"7",1,3,2
"8",1,2,3
"9",2,3,3
"10",2,2,1
"11",1,2,2
"12",3,1,1
"13",3,2,1
"14",2,3,1
"15",1,1,1
"16",1,3,1
"17",3,1,1
"18",2,2,2
"19",1,2,1
"20",2,2,2
"21",2,2,2
"22",2,2,1
"23",2,2,2
"24",1,3,2
"25",1,3,2
"26",1,2,2
"27",3,2,2
"28",1,3,1
"29",3,2,3
"30",2,3,1
"31",3,1,1
"32",1,3,3
"33",2,2,1
"34",3,3,2
"35",3,2,2
"36",3,1,1
"37",3,2,1
"38",2,2,3
"39",2,2,1
"40",1,2,2
"41",3,1,2
"42",2,1,2
