"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"1",2,4,1,2,3,2,2,2,1,2,4,3,3,3
"2",2,3,2,2,3,3,4,1,4,3,4,1,3,4
"3",4,1,1,3,1,1,3,4,1,4,1,1,4,3
"4",1,2,1,1,3,2,1,2,2,3,3,1,1,3
"5",1,3,4,3,3,4,2,1,3,1,2,2,3,4
"6",4,4,2,2,1,4,2,4,2,2,1,1,3,2
"7",4,1,4,3,1,1,4,3,1,2,3,1,1,2
"8",2,3,1,4,2,4,1,2,1,1,1,3,1,3
"9",1,1,2,1,2,4,4,1,1,3,1,3,4,4
"10",1,1,3,1,1,3,3,3,2,1,3,4,3,3
"11",4,3,2,1,2,1,2,1,3,1,1,4,3,3
"12",4,2,3,3,2,3,4,1,1,2,3,2,2,2
"13",4,1,3,2,1,2,2,4,1,3,3,1,3,3
"14",3,2,4,1,4,2,2,1,2,1,2,4,4,1
"15",1,1,1,4,4,2,2,3,4,1,3,4,1,2
"16",3,4,1,3,2,3,3,3,3,1,2,4,3,1
"17",2,4,3,4,4,1,3,1,2,4,3,3,2,4
"18",1,1,1,4,1,1,4,2,4,4,3,2,1,2
"19",4,1,2,4,3,1,4,1,3,2,3,3,3,2
"20",4,2,4,3,3,2,4,3,1,2,2,2,1,4
"21",2,3,1,2,1,1,4,4,2,4,1,1,4,2
"22",3,1,1,1,4,4,2,1,3,2,1,3,4,3
"23",3,1,4,4,1,2,4,2,2,2,3,4,3,1
"24",1,2,4,2,2,2,1,1,1,4,3,2,3,3
"25",4,4,2,4,1,2,3,3,1,3,3,2,2,3
"26",3,2,3,1,2,4,3,2,2,2,3,1,3,4
"27",3,3,4,4,3,3,1,1,1,1,2,4,1,1
"28",3,3,1,1,3,3,3,4,4,3,1,3,3,1
"29",4,4,3,3,4,4,2,1,4,4,4,1,3,2
"30",3,3,2,3,1,4,2,1,3,3,4,2,3,1
"31",1,2,1,3,1,3,1,3,4,2,4,2,1,4
"32",2,2,1,3,2,1,4,4,1,4,1,2,4,1
