"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1",1,2,2,2,3,1,1,3,3,3,1
"2",3,1,1,1,3,2,2,2,1,1,1
"3",3,2,2,1,3,2,1,3,3,2,3
"4",3,3,3,3,3,1,1,1,3,1,3
"5",1,3,3,3,1,3,1,3,2,1,1
"6",1,2,2,3,1,1,3,2,1,1,3
"7",3,3,1,2,2,2,1,2,3,1,2
"8",3,2,1,1,3,2,1,2,2,1,1
"9",1,3,3,3,2,3,3,2,3,1,3
"10",1,3,3,3,2,1,2,1,2,3,3
"11",2,3,2,3,2,3,3,2,2,2,3
"12",1,3,2,2,1,2,2,1,1,3,3
"13",2,1,3,2,2,1,1,3,3,2,3
"14",1,2,2,1,3,3,2,2,3,1,3
"15",2,2,3,1,1,2,3,1,1,1,3
"16",2,1,2,2,3,2,3,3,2,2,2
"17",2,2,3,2,2,2,3,3,1,2,3
"18",1,1,2,1,2,3,1,2,3,1,1
"19",1,1,3,1,2,1,3,1,1,2,3
"20",2,1,1,1,1,1,1,3,1,3,2
"21",3,2,1,3,2,1,3,2,1,1,3
"22",2,1,1,1,2,1,3,3,3,2,3
"23",2,2,3,2,1,3,3,3,3,2,3
"24",2,2,2,2,2,1,1,1,1,3,1
"25",2,3,1,1,2,2,1,2,2,2,2
"26",1,2,3,3,2,3,1,3,3,3,2
"27",2,3,2,1,3,3,1,2,1,2,1
"28",2,1,1,3,1,3,3,3,3,3,3
"29",3,3,1,2,3,3,1,2,1,1,2
"30",1,1,2,3,2,2,3,3,1,3,1
"31",3,2,2,3,1,1,2,2,2,1,3
"32",1,3,2,2,1,3,3,2,1,2,2
"33",3,1,1,3,2,2,1,1,3,1,3
