"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1",3,4,1,2,3,3,1,4,3,2,1,3
"2",1,3,4,2,1,4,3,2,1,2,4,2
"3",2,4,3,4,4,2,4,4,2,2,3,2
"4",3,1,4,3,3,4,4,4,1,3,3,3
"5",3,2,3,4,1,4,4,3,1,1,2,1
"6",3,1,1,4,2,1,2,3,3,2,3,3
"7",1,2,1,2,1,2,4,3,2,1,4,3
"8",3,2,1,1,3,3,2,1,2,4,2,3
"9",1,1,3,2,3,3,4,3,3,3,2,4
"10",2,4,1,3,2,2,4,4,2,3,4,2
"11",3,2,2,3,4,3,1,3,2,4,3,1
"12",3,1,1,2,4,4,1,2,1,1,4,2
"13",2,2,2,1,1,2,4,1,2,3,4,3
"14",4,3,1,1,4,2,2,4,2,1,1,4
"15",3,1,2,3,2,4,3,4,4,3,3,2
"16",4,3,3,3,4,4,2,4,1,1,3,2
"17",4,2,3,4,1,1,2,4,2,3,4,1
"18",2,2,4,3,4,1,1,2,3,2,1,1
"19",3,4,3,4,2,3,4,1,4,4,1,2
"20",3,2,1,2,4,4,3,1,1,3,1,1
