"","V1","V2","V3","V4","V5","V6"
"1",1,3,2,3,1,2
"2",3,3,3,1,3,3
"3",3,1,1,2,3,1
"4",3,2,1,1,1,1
"5",1,2,3,3,1,1
"6",1,2,1,1,3,1
"7",2,3,3,1,2,1
"8",1,1,1,1,1,2
"9",2,3,2,2,1,2
"10",2,1,3,3,3,1
"11",3,3,1,2,2,2
"12",2,1,3,2,3,1
"13",2,3,3,3,1,1
"14",2,1,2,3,1,3
"15",2,2,1,1,1,1
"16",1,2,1,1,1,3
"17",1,3,1,3,2,3
"18",3,3,3,1,3,1
"19",1,2,2,3,1,3
"20",1,3,2,3,3,2
"21",1,1,3,3,1,2
"22",3,3,2,1,1,3
"23",1,2,2,2,1,2
"24",3,2,2,1,3,1
"25",2,2,2,3,1,2
"26",2,2,1,2,3,3
"27",2,1,1,2,1,3
"28",2,2,1,3,1,2
"29",3,2,2,3,3,2
"30",3,2,1,2,1,1
"31",2,1,1,3,2,1
"32",3,1,3,1,1,1
"33",2,3,2,1,3,3
"34",1,2,3,1,3,1
"35",1,2,1,3,1,2
"36",3,3,1,1,3,2
"37",1,1,2,2,2,2
"38",3,1,2,2,1,2
"39",2,1,2,2,2,1
"40",2,1,1,1,1,1
"41",3,2,3,3,3,1
"42",1,2,1,1,3,3
"43",3,1,3,3,3,1
"44",3,3,2,1,3,3
"45",3,1,1,2,3,3
"46",3,2,2,1,1,3
"47",1,2,2,1,1,3
"48",3,1,3,2,2,1
