"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1",1,3,1,3,1,3,3,3,1
"2",1,2,2,3,2,2,1,1,1
"3",2,1,3,2,3,3,3,2,1
"4",2,1,1,1,3,3,2,1,2
"5",2,2,2,1,1,3,3,3,2
"6",2,1,1,2,3,3,3,2,2
"7",1,3,1,2,1,3,1,2,3
"8",2,1,3,2,1,1,1,3,3
"9",3,3,3,1,2,1,2,3,3
"10",2,3,3,3,3,1,2,3,3
"11",2,2,3,3,3,2,3,1,2
"12",1,1,1,1,1,2,1,2,2
"13",1,3,1,1,1,1,2,2,1
"14",3,3,1,1,1,3,1,2,3
"15",2,3,2,3,2,2,1,1,2
"16",1,2,2,1,2,2,3,2,3
"17",3,2,2,3,2,1,3,3,2
"18",1,2,2,1,2,2,2,1,3
"19",1,1,2,2,3,2,3,2,3
"20",2,2,3,1,1,3,1,1,2
"21",3,3,2,2,1,2,2,1,2
"22",2,2,1,3,3,1,3,3,1
"23",2,1,2,2,3,3,3,3,2
"24",1,1,3,1,1,1,3,1,1
"25",3,2,3,1,3,3,1,1,2
"26",2,2,3,3,3,3,3,3,3
"27",2,2,1,2,2,1,2,1,1
"28",3,2,2,1,1,2,1,1,3
"29",1,1,2,2,2,1,3,3,2
"30",3,3,1,1,1,3,2,3,3
"31",3,3,1,2,1,3,3,2,1
"32",1,2,1,3,1,3,1,3,1
"33",1,3,3,1,1,2,1,2,2
"34",3,1,3,3,3,1,3,1,2
"35",1,1,3,3,2,2,3,3,3
"36",1,2,2,3,2,2,1,3,3
"37",3,2,1,2,1,2,2,2,3
"38",1,2,1,3,3,2,3,1,2
"39",2,2,3,1,1,2,3,2,1
