"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",2,2,1,3,2,2,3,1,3,3
"2",1,2,3,3,2,3,2,1,3,3
"3",2,3,1,1,1,1,1,1,3,1
"4",3,2,1,3,3,1,2,1,1,3
"5",3,1,1,1,1,1,1,3,2,3
"6",2,3,3,3,3,3,2,1,2,3
"7",1,2,1,1,3,1,2,3,2,2
"8",2,1,3,3,3,2,1,2,2,3
"9",3,1,3,3,3,2,1,2,1,3
"10",1,2,2,1,3,3,1,2,2,3
"11",3,3,1,3,1,3,1,2,1,2
"12",1,1,3,1,3,3,2,3,2,2
"13",2,2,1,1,1,2,3,3,1,1
"14",3,1,2,1,1,3,1,2,1,2
"15",2,1,3,2,2,1,2,1,3,2
"16",3,3,1,2,1,3,2,2,3,3
"17",3,3,3,2,1,3,2,3,2,2
"18",2,1,3,1,3,1,2,3,3,1
"19",3,2,3,3,1,1,2,1,3,2
"20",3,2,3,1,3,1,3,2,2,1
"21",1,2,2,1,1,2,2,3,2,3
"22",3,2,3,1,1,3,3,1,1,3
"23",2,3,2,2,1,3,3,3,1,2
"24",3,2,1,2,2,1,3,3,2,1
"25",1,2,1,2,2,1,3,2,1,1
"26",1,3,2,1,2,2,3,3,1,1
"27",1,1,3,2,2,2,3,1,2,2
"28",1,1,2,3,1,1,1,2,3,3
"29",1,2,3,3,2,1,1,3,3,2
"30",3,1,1,1,2,3,2,2,2,2
