"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",2,3,1,2,2,2,1,1
"2",1,2,3,2,2,1,1,3
"3",3,1,3,3,2,2,2,3
"4",3,3,1,3,1,3,2,3
"5",1,2,3,3,3,2,1,3
"6",1,1,1,1,2,1,2,3
"7",2,2,1,2,2,1,1,1
"8",1,2,2,2,1,1,3,2
"9",1,2,1,1,1,3,2,3
"10",1,2,2,3,1,1,3,2
"11",3,1,3,2,1,2,2,2
"12",2,1,2,3,3,2,3,2
"13",3,1,2,1,1,2,1,2
"14",3,3,1,3,1,3,1,3
"15",2,1,1,3,1,2,1,1
"16",3,3,1,2,2,1,2,1
"17",1,1,3,2,1,3,2,2
"18",1,2,2,1,3,3,3,3
"19",3,2,3,3,3,2,1,1
"20",2,3,2,3,3,2,2,1
"21",1,2,3,1,1,3,1,2
"22",2,1,2,2,3,3,1,2
"23",1,1,2,3,2,1,1,3
"24",1,3,1,1,3,3,1,1
