"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1",3,3,3,3,2,2,4,3,3
"2",1,3,3,3,3,4,4,2,3
"3",3,1,2,3,1,4,3,1,1
"4",2,1,2,1,3,1,2,3,4
"5",4,3,2,2,1,4,3,3,2
"6",4,3,4,1,3,1,4,1,4
"7",4,1,1,4,4,3,4,1,3
"8",3,3,2,4,4,3,2,1,4
"9",2,2,3,2,2,3,3,1,4
"10",3,4,2,2,2,1,3,4,2
"11",1,2,4,4,4,1,4,1,2
"12",3,2,2,4,2,4,3,3,2
"13",4,3,3,3,4,1,4,3,1
"14",2,4,2,1,3,1,4,3,3
"15",2,2,1,1,2,4,3,3,3
"16",1,3,1,3,2,3,2,1,2
"17",3,3,3,3,2,2,2,4,3
"18",2,4,2,4,4,2,2,3,1
"19",3,4,1,2,1,3,3,4,4
"20",3,1,2,2,2,3,1,1,1
"21",4,1,2,4,3,1,1,3,1
"22",3,4,3,4,1,3,2,3,2
"23",1,3,1,3,4,2,3,4,4
"24",2,4,4,4,3,3,1,2,3
"25",1,2,2,1,1,4,4,1,1
"26",3,3,4,1,3,3,2,4,2
"27",4,3,1,4,4,2,2,4,1
"28",4,2,3,3,4,3,2,3,2
"29",2,2,3,1,2,3,1,4,4
"30",2,1,1,3,2,1,2,2,4
"31",1,3,4,3,1,3,3,4,2
"32",3,2,1,1,3,1,4,2,2
