"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"1",1,2,3,3,1,2,2,2,3,1,3,1,2
"2",2,1,3,1,3,3,1,2,3,3,3,2,1
"3",1,3,1,2,2,2,3,3,1,3,3,2,2
"4",1,1,1,2,2,1,3,2,1,1,2,3,3
"5",3,1,3,1,1,3,2,3,2,2,2,2,1
"6",2,3,3,1,2,1,2,1,1,2,3,1,3
"7",2,2,1,3,3,3,2,1,3,2,2,3,2
"8",1,2,1,3,1,2,2,3,1,1,1,2,2
"9",2,2,2,2,1,2,3,1,1,3,3,3,3
"10",1,1,3,3,1,2,2,1,2,1,3,2,3
"11",3,1,2,1,1,1,1,1,2,2,1,1,2
"12",3,2,1,1,1,2,1,1,1,2,1,1,2
"13",3,1,2,1,2,1,3,2,1,1,1,2,1
"14",2,1,2,1,3,3,1,3,1,2,2,2,3
"15",1,1,3,1,1,2,2,2,1,3,3,3,3
"16",3,3,2,2,1,3,1,2,3,2,3,3,2
"17",2,3,3,2,3,1,3,3,2,2,1,3,3
"18",3,2,2,2,1,2,1,2,1,2,2,2,2
"19",3,1,2,3,2,3,1,2,1,2,2,1,2
"20",3,2,3,2,2,2,1,1,2,1,1,2,1
"21",3,1,1,2,3,3,2,3,2,1,2,3,2
"22",2,2,1,1,1,2,2,3,1,1,2,2,2
"23",1,3,1,2,1,1,3,1,1,1,3,2,1
"24",2,1,3,3,1,1,2,3,1,3,3,2,2
"25",1,2,2,2,2,2,3,2,3,1,3,2,1
"26",2,3,3,1,1,1,3,1,1,2,2,2,2
"27",3,1,2,1,1,1,2,3,3,1,3,2,2
"28",1,1,3,3,1,2,2,3,2,1,1,3,3
"29",1,2,3,2,1,3,1,1,1,2,1,2,2
"30",2,3,3,2,2,1,2,2,2,1,3,3,1
"31",1,1,1,3,3,2,1,1,2,1,3,2,3
"32",3,1,3,1,1,2,1,1,3,3,1,3,3
"33",2,3,3,1,2,2,3,2,2,1,3,3,2
"34",2,1,1,2,3,1,1,3,2,3,3,1,2
"35",2,2,2,2,2,3,3,1,3,1,3,1,1
"36",3,1,1,3,2,2,2,3,2,3,2,1,1
"37",2,1,2,1,2,3,1,3,2,1,1,2,3
"38",3,3,2,3,3,3,2,3,2,2,2,1,2
"39",3,1,3,3,1,3,1,2,2,1,1,3,3
"40",3,1,1,3,2,2,3,2,2,1,1,3,3
"41",3,2,2,3,1,1,3,2,3,2,2,3,1
"42",3,1,1,1,3,3,3,1,1,1,1,3,2
