"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"1",1,2,2,1,2,1,2,2,2,2,2,2,1,2,1
"2",1,2,1,3,2,1,3,2,2,3,1,2,3,1,2
"3",3,2,2,1,3,1,3,1,1,1,1,3,1,2,1
"4",2,3,2,1,3,2,2,2,1,3,1,1,1,2,2
"5",3,2,1,2,3,3,1,2,2,3,3,3,3,3,3
"6",1,1,2,2,1,2,1,3,2,3,3,3,1,3,3
"7",2,2,2,2,2,2,3,3,1,1,1,2,1,2,1
"8",3,3,2,2,3,1,2,1,2,1,2,3,2,2,2
"9",1,1,2,3,2,2,2,2,3,3,2,2,2,3,3
"10",1,2,3,3,1,2,2,1,3,2,2,1,2,1,1
"11",2,2,3,3,3,3,3,3,3,1,3,2,2,3,3
"12",1,1,3,2,1,1,1,1,3,2,2,2,2,1,3
